repo_name,commit,message,Justification,Comment,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective
srvg/ansible,3ada56e2b1aef340f3ff98ac3a2b8a31d02a2ef3,"Skip non-management Packet IP addresses (#48168)

Non-management (elastic) IP addresses require manual configuration on
the host as described in https://help.packet.net/article/54-elastic-ips.
Skip those so that only the automatically configured management
addresses are used. Otherwise, a non-routable address may be returned in
the inventory.",,,,,TRUE,
CLAMP-IT/moodle,b2221ee59c7753978cf4e252377e4c7c843b9b32,"MDL-30340 blocks - avoid lockin'blocks in subcontexts.

Everytime that one block instance is edited @ any subcontext,
guarantee that the 'bring back' pattern (* = all pages) is
available, so the block can be reseted to its original context
",,uncertain,,,,
cmluciano/kubernetes,a98801c100d2761465c4182ec83289c5c3d72012,"Set default vmodule flag in integration tests

Re-introduce a default glog vmodule flag to the integration test setup.
The default was removed in d08dfb9 because it was hard-coded and
prevented local override. This commit makes the default overridable.
",set flag,,,,TRUE,
facebook/folly,c73cbb82d8a272abe93cd56a59645c6d4b9cb54e,"Explicitly mark the pthread forward declarations as extern C

Summary: These were being mangled as C++ functions rather than C functions.

Reviewed By: yfeldblum

Differential Revision: D7462668

fbshipit-source-id: e4e83e16aafad3d888599dd78bdbb4ac2711ad7f
",mark,,,,TRUE,
londoncalling/docker.github.io,182f8ab5930e081bbe8df6589e8b50044d830274,"instructions do not apply to debian

debian does not have linux-image-extra-virtual  or  linux-image-extra-$(uname -r)  packages. the author might have used a debian based distribution.  debian kernels come with the aufs modules per default, no need to install extra packages.",,uncertain,,,,
gnufied/kubernetes,92e4d3da0076f923a45d54d69c84e91ac6a61a55,"Merge pull request #59803 from wwwtyro/rye/robust-label-change

Automatic merge from submit-queue. If you want to cherry-pick this change to another branch, please follow the instructions <a href=""https://github.com/kubernetes/community/blob/master/contributors/devel/cherry-picks.md"">here</a>.

Avoid hook errors when effecting label changes on kubernetes-worker charm.

**What this PR does / why we need it**: Avoid hook errors when effecting label changes on kubernetes-worker charm.

**Release note**:
```release-note
Avoid hook errors when effecting label changes on kubernetes-worker charm.
```",,errors not found,,,,TRUE
Intel-tensorflow/tensorflow,e03457b7165d037664fda5ec1de2c0fe9a9c5a4e,"bitwise xor op now uses vectorised xor on CPU.

To get vectorised xor on CUDA, additional changes need to be made to Eigen;
specifically adding packetwise xor operations for the various float and double
types (float2, float4, double2).  Once those are in, this op will magically
pick them up as well.

PiperOrigin-RevId: 162981519
",uses,,,,TRUE,
kustodian/ansible,87bc5fcb24331040150ee7e206ae916ab081eb1d,"remove legacy action style from examples

- ""action"" style invoking is a legacy way to call modules
- the examples were updated to the typical style of calling complex
  modules:

ovirt:
  parameter1: value1
  parameter2: value2
  ...
",remove style,,,TRUE,,
mattjmcnaughton/kubernetes,e092d3f47b42870bfb6a7027a38070e78c625319,"Merge pull request #38571 from madhusudancs/fed-federation-api-getoptions

Automatic merge from submit-queue

Register metav1.GetOptions with federation APIs.

PR #37693 missed a spot.

cc @kubernetes/sig-federation @nikhiljindal",missed,uncertain,,,,TRUE
ptpt52/openwrt-openwrt,49f4d4217eb6b2aa709eade9ca80f145f8a422bd,"brcm47xx: build bcma into the kernel

Now we can assume that every brcm47xx kernel has the bcma module build
into the kernel. This is not needed for this version as this does not
support bcma as system bus but kernel 3.0 will.

SVN-Revision: 27733
",build into,,,,TRUE,
VioletLife/react,0d927844fba35df4956e904fdb33e2f7a034eace,"Type ReactDebugTool (#7586)

Flow doesn't really support the concept of variables that are non-null but only inside of a `__DEV__` block. There's an internal post about it ( https://www.facebook.com/groups/flowtype/permalink/1132437726804841/ ) and the conclusion is that we should force it to be non-null and trust the developer to put the proper DEV checks in place.",,uncertain,,,,
b-slim/hive,ccf94e29a4c72ae872048887784cbfbce11f84fb,"HIVE-6686 : webhcat does not honour -Dlog4j.configuration=$WEBHCAT_LOG4J of log4j.properties file on local filesystem. (Eugene Koifman via Thejas Nair)

git-svn-id: c2303eb81cb646bce052f55f7f0d14f181a5956c@1582901 13f79535-47bb-0310-9956-ffa450edef68
",does not honor,,,,,TRUE
P424D0X/hamwrt,7703e14bc4f36758ac28eea3c2abce7591ed4b8d,"kernel: mtdsplit_squashfs: Align with the erase-block size

On most image types the rootfs ends at an erase-block. However, at least
with brnImages this is not the case: while the partitions are aligned
with the erase-block size there is a 12 byte footer at the end of the
partition which must not be touched by any filesystem. This lead to a
rootfs_data partition which was not aligned properly (and thus ended up
being readonly):
	0x000000480000-0x00000085a800 : ""rootfs_data"" (128 KiB EB)

Signed-off-by: Martin Blumenstingl <martin.blumenstingl@googlemail.com>

SVN-Revision: 48263
",align,,,,TRUE,
gmcculloug/manageiq,617b96fea8d400eb92c80a6a205688e40765feee,"Don't consider tables that are always excluded during the schema check

This was causing pglogical to complain about the repmgr tables when
a remote region was using HA and we tried to compare the schemas
for compatibility.

https://bugzilla.redhat.com/show_bug.cgi?id=1385176
",cause to complain,bug in url?,,,,TRUE
samba-team/samba,281c5107b0f902d1e95b1d28dce344751d6ba31f,"s3:rpcclient: Use C99 initializer for cmd_set in cmd_netlogon

Signed-off-by: Andreas Schneider <5be00ddc76278cf6077f5047ca3384a88460c671@samba.org>
Reviewed-by: Douglas Bagnall <ea5c2dd9e1e1bee052dcc821cab32bd228dd61c7@catalyst.net.nz>
",uses,,,,TRUE,
kevinyu98/spark,55589987be89ff78dadf44498352fbbd811a206e,"[YARN][DOC] Increasing NodeManager's heap size with External Shuffle Service

## What changes were proposed in this pull request?

Suggest users to increase `NodeManager's` heap size if `External Shuffle Service` is enabled as
`NM` can spend a lot of time doing GC resulting in  shuffle operations being a bottleneck due to `Shuffle Read blocked time` bumped up.
Also because of GC  `NodeManager` can use an enormous amount of CPU and cluster performance will suffer.
I have seen NodeManager using 5-13G RAM and up to 2700% CPU with `spark_shuffle` service on.

## How was this patch tested?

#### Added step 5:
![shuffle_service](https://cloud.githubusercontent.com/assets/15244468/20355499/2fec0fde-ac2a-11e6-8f8b-1c80daf71be1.png)

Author: Artur Sukhenko <artur.sukhenko@gmail.com>

Closes #15906 from Devian-ua/nmHeapSize.
",increase,,,,TRUE,
dthies/moodle,0da03bf4e268e38cbb2be8254270ca38538b86e9,"MDL-39278 - test change to less which is ungenerated

My sincere apologies for polluting the history this way, but this
is the best way we can be sure.

TO BE CLEAR: this commit will shorlty be reverted.
",,uncertain. Reverted not found,,,,
brauner/lxc,410d0f6e5cff1ded97f8dc4c7a9b05236647b86b,"aufs: support multiple lower layers

Do it in a safe way by using strstr() to check for the substring "":/"" should
':' be part of a pathname.

Signed-off-by: Christian Brauner <48455ab3070520a2d174545c7239d6d0fabd9a83@mailbox.org>
Acked-by: Serge E. Hallyn <3df611b026e4639bee8aef7a4beb2e39fcebb313@ubuntu.com>
",support,,,,TRUE,
bywatersolutions/bws-package,aa14e3e2d19712bb8e06adacdb59a008088335b6,"Previously there was no check to make sure that an issn number
actually existed; so if there was no isbn, and the issn was blank,
the item would be assigned a random biblionumber and the breeding farm
would report that the item already exists in the catalog (even though
it didn't). This fix adds a check to determine whether the imported
record has an issn before assigning a matching biblionumber.
",this fix,?,,,,TRUE
couchbase/ns_server,c474f2a1e1b9e45d106c943ce31968f60bb2d6eb,"eliminate some unnecessary foldl calls in node_monitor

Change-Id: Idc1169e9ac4af2cc6489c04febb671aba835dc51
Reviewed-on: http://review.couchbase.org/114395
Tested-by: Artem Stemkovski <15a0730a27c69f62ab86f2b6c639fca202166c02@couchbase.com>
Well-Formed: Build Bot <80754af91bfb6d1073585b046fe0a474ce868509@couchbase.com>
Reviewed-by: Aliaksey Artamonau <ce14b1c16e0fd654f926118eb8addbec5aff4ffa@couchbase.com>
",eliminate unnecessary,uncertain,TRUE,,,
uniphier/buildroot-unph,2ca1d299ae2d1b852088e266451a61977852ac15,"kodi: add missing indirect dependency on dynamic lib for shairport

Signed-off-by: Arnout Vandecappelle (Essensium/Mind) <0a5e220122bc195b848436603de35259556d873f@mind.be>
Signed-off-by: Peter Korsgaard <4b8373d016f277527198385ba72fda0feb5da015@korsgaard.com>
",add missing,,,,,TRUE
barrymcgee/www.ubuntu.com,502c912ef86ffde15704e022f87a99b8f6c4236b,"demo of orange hover state for homepage platform strip (#2246)

* demo of orange hover state for homepage platform strip

* changed intro-strip icons from being served from asset store to being embedded in SASS file
",demo,,,,TRUE,
salewski/emacs,f4859757b63a056392af410fce6b4938f7f27c00,"Don't match C++ template delims starting within a token.  FIxes bug #28418.

* lisp/progmodes/cc-engine.el (c-restore-<>-properties): After failing an
attempted match from the start of a token (in particular, ""<<""), move to the
next token rather than the nex character before searching for the next ""<"".
","don't match, bug",??,,,,TRUE
google/closure-compiler,07c4afb5f78851d540b3dab8e5350accce4897d2,"
Wipe GlobalNamespace out during incremental compile.

R=nicksantos
DELTA=22  (13 added, 0 deleted, 9 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=3297


git-svn-id: 708380be11bb4c96db8d1bd19ea12a301575c487@1452 b0f006be-c8cd-11de-a2e8-8d36a3108c74
",,uncertain,,,TRUE,
eparis/kubernetes,8e08cbc3c446b24069d59f87cd6d7c0c8e913fbe,"Bump the version of kubernetes-cni to 0.6.0

This will resolve the kubernetes-anywhere e2e test.
In commit: https://github.com/kubernetes/kubernetes/pull/71540
I bumped the required version of kubernetes-cni to 0.6.0 but didn't
start packaging it. This resolve that.

Signed-off-by: Duffie Cooley <e1ae1cbb027209cacd3b445141b0f2f4d08905e4@heptio.com>
",resolve,,,,,TRUE
paulholden/moodle,6e972bdd3448aedb85c88f22113fe9f70ca3ca1d,"MDL-49637 assign: Behat test for blind marking with workflow

This test checks that that if reveal student identities is used before or after the submissions grades have
been set released that the teacher's feedback is displayed to students.
",added a test,,,,TRUE,
OlegGirko/open-build-service,fd21567470a87ffad4595b97a1f838ee9dffd84a,"[ci] Require rubocop/rake_task only when needed

Prevent loading rubocop/rake_task gem in such tasks as dev:boostrap
needed when creating the obs-api package.

Co-authored-by: Björn Geuken <ff20202de66d4d024ac0a42419aa91ca1fe72a6c@suse.de>
",,uncertain,,,TRUE,
li-ang/influxdb,f6b36ee4d06abe2b20c6e87095394615953dbb20,"Cancel outdated variable hydration requests

Limits the concurrency of variable hydration requests to at most 1
request at a time. This prevents a data race involving the variable
values state, frees up HTTP connections for other requests, and avoids
downloading data that will never be used.
",data race,,,,,TRUE
MaxKellermann/MPD,5e7367c580f3a7aca93f6523e6c9d37f81b1d48b,"charConv: tie the buffer size for iconv() to our PATH_MAX constant

Although most PATH_MAX is higher than the 1k buffer we set, some
implementations will set a 256 (or even 64) byte PATH_MAX, so
we should be prepared for that.

git-svn-id: f2e9b6cadaca7ef9f4fa41a633c4f982f0d4bade@7121 09075e82-0dd4-0310-85a5-a0d7c8717e4f",,uncertain,,,TRUE,
CLAMP-IT/moodle,43bd811891fe19aa43fd0bb9bf1ad9d3b392b1b4,"MDL-38507 JavaScript: Move definition of YUI_config before setup of SimpleYUI

Since moving to SimpleYUI, the order of inclusion for the YUI_config
variable is more important.

Simple YUI defines a global instance of YUI so that it can be used without
specifying the full YUI().use() syntax. As a result, any configuration
applied when that global instance is setup must exist already.
",move definition,,TRUE,,,
darionyaphet/spark,35316cb0b744bef9bcb390411ddc321167f953be,"[SPARK-13292] [ML] [PYTHON] QuantileDiscretizer should take random seed in PySpark

## What changes were proposed in this pull request?
QuantileDiscretizer in Python should also specify a random seed.

## How was this patch tested?
unit tests

Author: Yu ISHIKAWA <yuu.ishikawa@gmail.com>

Closes #11362 from yu-iskw/SPARK-13292 and squashes the following commits:

02ffa76 [Yu ISHIKAWA] [SPARK-13292][ML][PYTHON] QuantileDiscretizer should take random seed in PySpark
",should,,,,,TRUE
roambotics/swift,99cad87ea0d4989a533930d33d7392746e93f2dd,"[CMake] Explicitly set Android lib prefix/suffix

When compiling the Swift standard library for Android on Linux, the
target prefixes and suffixes for static and shared libraries happen to
be the same for both platforms. When using a macOS host to compile,
however, the suffixes are different, causing build errors.

Explicitly set the prefixes and suffixes to prevent errors when
building on macOS.
",prevent errors,,,,,TRUE
andreabolognani/libvirt,b0a16641fa648de23d1fd05a3e89987799550c44,"qemu: Always send persistent XML during migration

When persistent migration of a transient domain is requested but no
custom XML is passed to the migration API we would just let the
destination daemon make a persistent definition from the live definition
itself. This is not a problem now, but once the destination daemon
starts replacing the original CPU definition with the one from migration
cookie before starting a domain, it would need to add more ugly hacks to
reverse the operation. Let's just always send the persistent definition
in the cookie to make things a bit cleaner.

Signed-off-by: Jiri Denemark <62bdf77dc47919a4d59a91822129d14633cfca81@redhat.com>
Reviewed-by: Pavel Hrdina <d4772d05997b8abf035041e3b4f4996380ea7e7a@redhat.com>
",not a problem now,,,,TRUE,
ravilr/kubernetes,ff42c1f2b883730afa542a0e2ecec5fb432df78f,"Merge pull request #31349 from wojtek-t/enable_gc_in_kubemark

Automatic merge from submit-queue

Enable GC by default in Kubemark

Since GC is enabled by default, we should also enable it by default in kubemark",enable,,,,TRUE,
openssl/openssl,c0aa8c274843c5b8a70d70fc05d71fa3dfd510db,"Use default ASN.1 for SEED.

The default ASN.1 handling can be used for SEED. This also makes
CMS work with SEED.

PR#4504

Reviewed-by: Rich Salz <c04971a99e5a9ee80eaab4b1deb37e845b0bd697@openssl.org>
",uses,,,,TRUE,
istio/istio,04728e8348f331dd7c659ac39661ed42db860b48,"Only log from the dedup repear at a higher logging level to avoid noisiness. (#639)

* Update the symbol names for all ConfigErrors to adopt camelCase consistently.

* Only log from the dedup repear at a higher logging level to avoid noisiness.


Former-commit-id: 8f5bdba213890dc650b62494c08cbc089f5a317e",,uncertain,,,TRUE,
mattjmcnaughton/kubernetes,97689c326da2a9170e25ed5e1bdb8f3e2bc50533,"Reduce healthy threshold and check interval for Amazon ELBs

According to AWS, the ELB healthy threshold is ""Number of consecutive health check successes before declaring an EC2 instance healthy."" It has an unusual interaction with Kubernetes, since all nodes will enter either an unhealthy state or a healthy state together depending on the service's healthiness as a whole.

We have observed that if our service goes down for the unhealthy threshold (which is 2 checks at 30 second intervals = 60 seconds), then the ELB will stop serving traffic to all nodes in the cluster, and will wait for the healthy threshold (currently 10 * 30 = 300 seconds) AFTER the service is restored to add back the cluster nodes, meaning it remains unreachable for an extra 300 seconds.

With the new settings, the ELB will continue to timeout dead nodes after 60 seconds, but will restore healthy nodes after 20 seconds. The minimum value for healthyThreshold is 2, and the minimum value for interval is 5 seconds. I went for 10 seconds instead of the minimum sort of arbitrarily because I was not sure how much this value may affect the scalability of clusters in EC2, as it does put some extra load on the kube-proxy.
",reduce,,,,TRUE,
arrmo/librenms,f632521bda804b9c145e3262b76687c9dc6352a9,"Display user id for auth_test.php -l (#9066)

DO NOT DELETE THIS TEXT

#### Please note

> Please read this information carefully. You can run `./scripts/pre-commit.php` to check your code before submitting.

- [x] Have you followed our [code guidelines?](http://docs.librenms.org/Developing/Code-Guidelines/)

#### Testers

If you would like to test this pull request then please run: `./scripts/github-apply <pr_id>`, i.e `./scripts/github-apply 5926`
",display,,,,TRUE,
adamliter/homebrew-core,1db4eda813cd6c1092400e10700d238a5ac9b953,"libtiff: remove now defunct mirror

libtiff has been removed from remotesensing.org. No authoritative word
on where it will be hosted next, so not updating the homepage yet.

http://www.asmail.be/msg0054883490.html
",,remove,TRUE,,,
sylph-sin-tyaku/mastodon,9b638309d54eec0a75ae0348ce8deeb2ab22751a,"Bump sass from 1.17.2 to 1.20.1 (#10908)

Bumps [sass](https://github.com/sass/dart-sass) from 1.17.2 to 1.20.1.
- [Release notes](https://github.com/sass/dart-sass/releases)
- [Changelog](https://github.com/sass/dart-sass/blob/master/CHANGELOG.md)
- [Commits](https://github.com/sass/dart-sass/compare/1.17.2...1.20.1)",bump,,,,TRUE,
wzhfy/spark,54a3697f1fb562ef9ed8fed9caffc62b84763049,"[MINOR][CORE] Fix a info message of `prunePartitions`

## What changes were proposed in this pull request?

`PrunedInMemoryFileIndex.prunePartitions` shows `pruned NaN% partitions` for the following case.

```scala
scala> Seq.empty[(String, String)].toDF(""a"", ""p"").write.partitionBy(""p"").saveAsTable(""t1"")

scala> sc.setLogLevel(""INFO"")

scala> spark.table(""t1"").filter($""p"" === ""1"").select($""a"").show
...
17/03/13 00:33:04 INFO PrunedInMemoryFileIndex: Selected 0 partitions out of 0, pruned NaN% partitions.
```

After this PR, the message looks like this.
```scala
17/03/15 10:39:48 INFO PrunedInMemoryFileIndex: Selected 0 partitions out of 0, pruned 0 partitions.
```

## How was this patch tested?

Pass the Jenkins with the existing tests.

Author: Dongjoon Hyun <dongjoon@apache.org>

Closes #17273 from dongjoon-hyun/SPARK-EMPTY-PARTITION.
",fix,,,,,TRUE
scribblemaniac/homebrew-cask,1a8884753e06562c9c07770389e5d7b8ac8d6ba7,"sanity check against deleting user files

Needed to reduce danger from typos in ""zap"" stanzas.

As noted in the comments, this is somewhat simplistic, and
should later be merged with similar logic in lib/cask/pkg.rb.
",sanity check,,,,TRUE,
ShizCalev/tgstation,aead4ee4fd3c9db2774d204346fd9ee9f6b92861,"Removed objectionable absinthe name, description

:cl: coiax
rscadd: Centcom Department of [REDACTED] have announced a change of supplier
of [EXPLETIVE DELETED]. As such, for security reasons, the absinthe
[MOVE ALONG CITIZEN] will instead be [NOTHING TO SEE HERE]. We hope that
this will not affect the performance of the [INFORMATION ABOVE YOUR
SECURITY CLEARANCE].
/:cl:
",removed,,,,TRUE,
borod108/manageiq,70d422c6d7a1e1b862b9668c3bf85c4355b5249c,"bower.json - always use ~ to set dependency, update to current state

given the recent codemirror breakage (#12077), I'm updating our `bower.json` to always use `~` for dependencies (`~1.2.3` is `>= 1.2.3 && < 1.3.0`, whereas `^1.2.3` is `>= 1.2.3`).

But since evererthing else is working at the current versions, also updated to the newest being used (except for codemirror).
",,uncertain,,,TRUE,
Linuxbrew/homebrew-core,4855c73b50364c1ddf99b65be51f73e360294b75,"bfg 1.12.4

Note that this increases the Java version requirement from 1.6 to 1.7 - https://github.com/rtyley/bfg-repo-cleaner/commit/8651ad26

Closes Homebrew/homebrew#42541.

Signed-off-by: Alex Dunn <46952c1342d5ce1a4f5689855eda3c9064bca8f6@gmail.com>
",,uncertain,,,TRUE,
shuffle2/dolphin,997ab4ada1385617c779dd0c419e03480dae1f93,"Mark 'A' as being region-free, but still explicitly default it to          
European settings. Also try to add sensible defaults for [LMNTQ]      
taken from http://wiibrew.org/wiki/Title_database#Region_Codes .


git-svn-id: 8321eaa3640e6e5bde40e398eb199b47712e1f8d@5551 8ced0084-cf51-0410-be5f-012b33b47a6e
",mark,,,,TRUE,
iwubcode/dolphin,da43f9a156ae58593a73f8b529a11fa4fcb51d42,"PixelShaderGen: Always divide the texture coordinates by q.

Some games will set q to a different value than 1.0 through
texture matrix manipulations. It seems the console will still
do the division in that case.
",,uncertain,,,TRUE,
xzturn/tensorflow,5b38de4f26ca36d403878bb302b6b394e2afad5a,"Deal with missing values in metadata.

- Explicitly parse missing values as null, and deal with them when coloring.
- Since we allow metadata size to not match the tensor size, the presence of a header in the metadata should be determined by whether the dataset has multiple columns.

TESTED:
 - no opensource_build implications.
Change: 133785335
",,,,,TRUE,
pevik/ltp,65be6ce3d070e50d0fdebb5bc6427638b94844d5,"on SLES10 SP2 __NR_get_robust_list is not defined and cause following compiler warning:
---->8---------
make[4]: Entering directory `/usr/src/packages/BUILD/ltp-full-20081031/testcases/kernel/syscalls/get_robust_list'
cc -fmessage-length=0 -D_FORTIFY_SOURCE=2 -O2 -g -Wall -fmessage-length=0 -D_FORTIFY_SOURCE=2 -O2 -g -I../../include -g -Wall -I../../../../include -Wall    get_robust_list01.c
-L../../../../lib -lltp -o get_robust_list01
get_robust_list01.c: In function 'main':
get_robust_list01.c:252: warning: control reaches end of non-void function
make[4]: Leaving directory `/usr/src/packages/BUILD/ltp-full-20081031/testcases/kernel/syscalls/get_robust_list'
----8<---------
And cause ""unexpected"" return value:
----8<---------
x86_64:~/:[1]# /usr/lib64/ltp/testcases/bin/get_robust_list01 get_robust_list: system call not available
x86_64:~/:[43]# echo $?
43
x86_64:~/:[0]# /usr/lib64/ltp/testcases/bin/get_robust_list01 | wc -c
43
---->8---------
Attached patch avoids ""random""/43 return value. Signed-off-by: Daniel Gollub <dgollub@suse.de>.
",fix warning,,,TRUE,,
zippy2/libvirt,e25dfbf58ccf51c5e64f94b503c95e770e49612b,"qemu: driver: Don't return anything from qemuDomainBlockStatsGatherTotals

Signed-off-by: Peter Krempa <2cf5c04c61aa466e4a47bfedc747d17279c72ffc@redhat.com>
Reviewed-by: Ján Tomko <4cab11cfb98d3c937327354a78eb07dbb6ee2bc6@redhat.com>
",don't return,,,,TRUE,
sschiau/swift,d923da6dc6f0f9532484d6ace40542ae8377afc0,"Throw in a terrible hack to make ""var x7 = x1.search(42).width;"" work.  The parsing hacks to allow if/else to work should be ripped out and if/else should be added to the grammar properly.

Swift SVN r365
",,uncertain,,,TRUE,
tim-janik/beast,ac4fb482a3d013f04dcdb0673e62e3bd54c81a04,"TRAVIS: stop deb package builds and uploads

The Debian devel packages built via travis-ci were never really used, so
we stop the automated builds here and leave binary packaging to releases.

Signed-off-by: Tim Janik <6ec6ff229c4e1c5bbd5933ee92e6c5832ff023bb@gnu.org>
",stop build,,,,TRUE,
uniphier/buildroot-unph,4a03d1ac29fbd5d67145a7ee4631fd38163939ae,"package/linux-tools: gpio does not build in parallel

Partially fixes #10276.

Reported-by: Ciro Santilli <f9f94c17362144ef13d3dda5cd3efb8325112763@gmail.com>
Signed-off-by: ""Yann E. MORIN"" <b375a36861a21dce61868a5a9b415811d17b4e97@free.fr>
Cc: Thomas Petazzoni <a5d87d2bd7c424ee5cbdb4e978635bf653d5a005@free-electrons.com>
Cc: Ciro Santilli <f9f94c17362144ef13d3dda5cd3efb8325112763@gmail.com>
Signed-off-by: Thomas Petazzoni <a5d87d2bd7c424ee5cbdb4e978635bf653d5a005@free-electrons.com>
",fixes,,,,,TRUE
xuanyuanking/spark,ef2d63bfb1859232d166320896957c0543c059cc,"[SPARK-27201][WEBUI] Toggle full job description on click

## What changes were proposed in this pull request?

Previously, in https://github.com/apache/spark/pull/6646 there was an improvement to show full job description after double clicks.
I think this is a bit hard to be noticed by some users. I suggest changing the event to one click.
Also, after the full description is shown, another click should be able to hide the overflow text again.

Before click:
![short](https://user-images.githubusercontent.com/1097932/54608784-79bfca80-4a8c-11e9-912b-30799be0d6cb.png)

After click:
![full](https://user-images.githubusercontent.com/1097932/54608790-7b898e00-4a8c-11e9-9251-86061158db68.png)

Click again:
![short](https://user-images.githubusercontent.com/1097932/54608784-79bfca80-4a8c-11e9-912b-30799be0d6cb.png)

## How was this patch tested?

Manually check.

Closes #24145 from gengliangwang/showDescriptionDetail.

Authored-by: Gengliang Wang <bfe1a7b36425bd89859a70a36586361d28ec35eb@databricks.com>
Signed-off-by: Hyukjin Kwon <2680965ad5aae29275c8fb10150cb10f5554e78b@apache.org>
",toggle,,,,TRUE,
hcab14/AliPhysics,33ce233e9eb4f59bcf137c84034d718ff94ace63,"allow to have AUTOYEAR instead of e.g. 2011

for clear documentation now AUTOYEAR can be set in
$ocdbStorage, e.g.

ocdbStorage=local:///cvmfs/alice.gsi.de/alice/data/AUTOYEAR/OCDB/

no change in fuctionality, just a better hint at the automatic
funtionality
",allow,,,,TRUE,
NeillM/moodle,628dff250f602c29d6ef1709b420ad0261d41b57,"MDL-19057 dml tests: Completed (and passed in all the big four!) the
insert_record() and update_record() tests. Including nulls, booleans, zeros, empties,
quotes and backslashes, some php operations, clobs and blobs. Also covering
get_record()/get_recordset() for all those cases.
",completed tests,,,,TRUE,
