repo_name,commit,message,Is_Security,Justification,Certain,Comment,Sampling
jan-molak/serenity-js,bb0db65e844b3d63ac0c955d5b4c1cd92685c3d6,"chore(deps): [security] bump lodash from 4.17.11 to 4.17.14

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.11 to 4.17.14. **This update includes security fixes.**
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.11...4.17.14)

Signed-off-by: dependabot-preview[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",TRUE,security,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
mozilla/relman-auto-nag,07b5f13162ef2e35026e7c60c5f83744e781e96e,"+x permissions on the file
",TRUE,premissions,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
benmwebb/dopewars,cc778bf8f88790111dea11d6900d055e6ebdfbe4,"HTTP proxy authentication should now also work

",TRUE,authetication,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
bywatersolutions/bws-package,72b135d0252bb51c929147b27d2cc138b78eae4d,"Bug 12403: Add a batch record deletion

This patch offers a new tool for deleting records.
Biblios and authorities will can to be deleted with a simple list of
biblionumber or authid.

This feature adds:
- a new pl/tt files tools/batch_delete_records
- a new permission: tools > records_batchdel

Test plan for biblios:
1/ There are two ways to generate a list of biblionumbers:
- using the basket: do a search, add some biblio to your basket, open
  the basket and click on the ""Action"" button > ""Delete""
- generating a list from a report
2/ On the ""Batch record deletion"" tool verify:
- biblios with issues cannot be deleted (checkbox disabled and line in
  red).
- information is correct.
- sort functions work on each columns.
- the items, reserves and issues values are correct.
3/ After clicking on the ""Delete selected recors"" button, verify:
- reserves, items and biblio have successful been deleted.
- if an error occurs, the tool display an error message.

Test plan for authority:
1/ Generate a list of authid using a report:
2/ On the ""Batch record deletion"" tool verify:
- authorities are display with the summary.
- the count usage (used in X biblios) is correct.
3/ After clicking on the ""Delete selected recors"" button, verify:
- The authorities have successful been deleted.
- if an error occurs, the tool display an error message.

Signed-off-by: Brendan Gallagher <d88b10c6bc7c38a4ffb541994aef7d8a7f8e3819@bywatersolutions.com>
Signed-off-by: Katrin Fischer <9b69ec3a4d06e697f94de4e5bc733b1bd1394784@web.de>
Signed-off-by: Tomas Cohen Arazi <63ac9f6777fb741d62c33cd73a438a8ce82c7d4a@gmail.com>
",FALSE,authoroties,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
sufficientlysecure/ad-away,c3a47c9cc84f5a1443aa7c56c50d35ba763ee8f3,"chore: Remove APN check

Unused and requires a new permission with SDK 30
Manifest.permission.WRITE_APN_SETTINGS
",TRUE,permission,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
OPM/opm-common,5269f52291ef7ccd84d183e250502f8633bcbcb8,"Merge pull request #1075 from joakim-hove/python-install

Add Python copy/install hack",FALSE,hack,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
phacility/phabricator,67f062b0049dcc55558acfa85c6333947d6fcaab,"When triggering audits, count ""Accepted"" revisions as successfully reviewed

Summary:
See PHI1118. That issue may describe more than one bug, but the recent ordering changes to the import pipeline likely make this at least part of the problem.

Previously, commits would always close associated revisions before we made it to the ""publish"" step. This is no longer true, so we might be triggering audits on a commit before the associated revision actually closes.

Accommodate this by counting a revision in either ""Accepted"" or ""Published (Was Previously Accepted)"" as ""reviewed"".

Test Plan:
  - With commit C affecting paths in package P with ""Audit Unreviewed Commits and Commits With No Owner Involvement"", associated with revision R, with both R and C authored by the same user, and ""R"" in the state ""Accepted"", used `bin/repository reparse --publish <hash>` to republish the commit.
  - Before change: audit by package P triggered.
  - After change: audit by package P no longer triggered.

Reviewers: amckinley

Reviewed By: amckinley

Differential Revision: https://secure.phabricator.com/D20564
",FALSE,secure in link,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
docker/docker.github.io,e55ed741c24fe9e974d08f4893c79752fb279dc4,"Update hack/make/ubuntu to use the new markdown-based manpages

This also removes all the old man pages, .gitignores their directory, and updates the md2man-all.sh script to be easier to read and more friendly to being called within hack/make/ubuntu.

Docker-DCO-1.1-Signed-off-by: Andrew Page <admwiggin@gmail.com> (github: tianon)
",FALSE,hack,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
opensalt/opensalt,14d0a042a8e1e4b6b073efe28ecb086857821f1a,"Merge pull request #5 from pcgroup/lsitem-security

Adding security validations to the LsItemController",TRUE,security,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
Homebrew/homebrew-core,d76a7cc20c4c31cb20eb4b9ec931e5f3f5cb6ace,"cxxtest: secure url(s)
",TRUE,secure,,,22_jan_2021_pos_hits_36fdf4aea9d8dc83bdea98239b601ac51d07e5d9
openweave/openweave-core,cfb68447801d9d6abf1223cf2317354eb44a5296,"Various changes to Weave Binding, big and small

-- Added support for initiating PASE sessions.  By default the device pairing code is used
as the password.  However this can be overridden by the application via a Binding API event.
Due to limitations in the security manager this feature can only be used over connection-
oriented transports.

-- Added support for initiating TAKE sessions.  Because TAKE initiation requires a client-
side delegate object (WeaveTAKEChallengerAuthDelegate), along with other protocol-specific
configuration parameters, a new API event was added to the Binding API to request these
parameters from the application at the moment of initiation.  This pattern eliminates the
space required to store these values within the Binding object itself.  Like PASE, TAKE can
only be used over connection-oriented transports.

-- Modified the Binding PrepareFailed API event such that it passes StatusReport information
to the application when preparation fails due to the peer returning a non-successful status
report.  This enables better error reporting in the application.  Currently the only
situation in which a StatusReport information is returned is when a security session fails
with an error from the peer.  (This closes a long-standing TODO).

-- Improved logging when binding preparation fails due to receipt of a status report.  Now
the log message includes the status profile and code from the StatusReport and a
corresponding string translation if available.

-- Modified WeaveExchangeManager to notify each Binding object when a connection is closed.
This was the intended design when Bindings were enhanced to support connections.  However
somehow the behavior was never fully implemented.

-- Modified Binding::PrepareTransport() to clear the default connection closed handler (as
installed by the message layer) when instantiating a new connection. This is needed to avoid
a double release of the connection on a network close.

-- Fixed a WeaveConnection leak.  When an ExchangeContext is vended from a Binding that has
been configured to use a WeaveConnection, a reference to the connection it taken to ensure it
remains live for the duration of the exchange.  The ExchangeContext is expected to release this
reference when it is no longer needed.  However, in the event the connection experiences a
network close, code in WeaveExchangeManager::HandleConnectionClosed() was not releasing this
reference before discarding the pointer to the connection, resulting in a leak.

-- Added GetPeerIPAddress() method to allow applications to retrieve the IP addressing
information (address, port and interface) for the peer.

-- Added GetExchangeManager() method.

-- Added #if statements to reduce code size in cases where CASE/PASE/TAKE initiation is
disabled at compile time.
",FALSE,,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
slimphp/Slim,dd6aa9ab3fad0c09c665095642bda6f2a453e3ce,"Fix issue #568: Parse string 'expires' before encoding secure cookie.

The `\Slim\Http\Util::encodeSecureCookie` function requires the
expires parameter to be a int. A string typed 'expires' or
'cookie.lifetime' would pass a string in this case, which causes the
response cookie to be broken when parsed by `decodeSecureCookie`.
",TRUE,secure,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
aleDsz/ragnaMOBA,ee5ee4fcd0cd5fbc111ea55bc79441b9d34f2d8f,"* Fix homunc & code cleanup [Toms] 
  - Timer problems on delete_timer
  - Intimacy problem (overflow & new values)
  - Homunc deleted if intimacy < 0
  - base exp is now given to master
  - Homunc sometimes not saved

git-svn-id: 7d70fff0c83e6c1b79d3d732061cbed0706e890a@7913 54d463be-8e91-2dee-dedb-b68131a5f0ec
",FALSE,timer,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
googleapis/google-cloud-cpp-common,f3bddd1b151b75b370151a5194b99ae7bab5fc7f,"fix: use a safer token to workaround libstdc++ bug (#272)

The workaround put in place in #208 does not work with g++-9.3.1 on
Fedora:31. Despite this being a ""newer"" version of libstdc++, it does
not support `rdrand` as a token for `std::random_device` maybe because
the CPU specific tokens are not enabled.

For now, use `/dev/urandom` which seems to be supported on all Linux
distros. On other platforms we continue to use the default constructor
for `std::random_device`.

It might be possible to refine this and detect, at run-time, if `rdrand`
is supported, but that seems like an improvement that can wait a little
bit.",TRUE,safer,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
roots/trellis,0efcf58b9a9436bee1b848233ac3efc64321f5c1,"Change self-signed certificate expiry time
from 3650 days to 825, the new maximum time allowed under macOS Catalina
",TRUE,certificate,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
HippieStation/HippieStation,cfd5cff35282f3d87b58c9ef758aa9ee843cfda0,"The 'Check AI Laws' verb now shows which AI (if any) the cyborgs are synced to.

Fix for a runtime due to an attack_verb being a string instead of a list. (You can once again robust people with toolboxes!)

git-svn-id: af9c09e5e5bfa333f52f6fefeba857070ad34abf@4210 316c924e-a436-60f5-8080-3fe189b3f50e
",FALSE,runtime,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
tprrt/linux-stable,374855c5e4a76f7cc7f9aeb613c54929510eff18,"tools lib traceevent: Add API to read time information from kbuffer

Add the functions kbuffer_subbuf_timestamp() and kbuffer_ptr_delta() to
get the timing data stored in the ring buffer that is used to produced
the time stamps of the records.

This is useful for tools like trace-cmd to be able to display the
content of the read data to understand why the records show the time
stamps that they do.

Link: http://lore.kernel.org/linux-trace-devel/20200625100516.365338-2-efe1c68dba7c08861a91540a65113270d7e097af@gmail.com

Signed-off-by: Steven Rostedt (VMware) <43232e92d70cc7aa53504ad0397085ee47bad87f@goodmis.org>
[ Ported from trace-cmd.git ]
Cc: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Cc: Jiri Olsa <2c6594f608aa3d41e98d48846a6328831f7084ad@redhat.com>
Cc: Namhyung Kim <5c915a589b3ddf58cebf14bec41bcc143b37ac3c@kernel.org>
Cc: 6a0b4203f8d5a7273b882a60c2d3be20e1cb78d2@vger.kernel.org
Link: bbacaf1d528e2bf733a75a1bc88b136919d720fb@goodmis.org
Signed-off-by: Tzvetomir Stoyanov (VMware) <efe1c68dba7c08861a91540a65113270d7e097af@gmail.com>
Signed-off-by: Arnaldo Carvalho de Melo <293abb6b76d7791c0732cc517d38c4b5c734b87f@redhat.com>
",FALSE,timestamp,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
BitcoinUnlimited/BitcoinUnlimited,926836ad36778371a98c9f35d0b84d3cc25c08fd,"Make secp256k1_fe_sqrt constant time
",FALSE,constant time,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
nwjs/chromium.src,d262a0ed6bd977cfec18514171790fcaee02a0a1,"Reland of Post tasks for sensitive input visibility notifications (patchset #1 id:1 of https://codereview.chromium.org/2531683002/ )

Reason for revert:
Fixing SecuritySTateTabHelperTests

Original issue's description:
> Revert of Post tasks for sensitive input visibility notifications (patchset #5 id:80001 of https://codereview.chromium.org/2515373003/ )
>
> Reason for revert:
> Suspected for flaky failures on browser_tests for Mac 10.9 asan, Mac 10.10
>
> E.g.
> SecurityStateTabHelperTestWithPasswordCcSwitch/SecurityStateTabHelperTestWithPasswordCcSwitch.PasswordSecurityLevelDowngradedFromIframe/0
> SecurityStateTabHelperTest.PasswordSecurityLevelNotDowngradedWithoutSwitch
>
> https://uberchromegw.corp.google.com/i/chromium.memory/builders/Mac%20ASan%2064%20Tests%20%281%29/builds/24682
> https://uberchromegw.corp.google.com/i/chromium.mac/builders/Mac10.10%20Tests/builds/9716
>
> Errors like
>
> ../../chrome/browser/ssl/security_state_tab_helper_browser_tests.cc:966: Failure
> Value of: security_info.security_level
>   Actual: 0
> Expected: security_state::HTTP_SHOW_WARNING
> Which is: 1
> ../../chrome/browser/ssl/security_state_tab_helper_browser_tests.cc:971: Failure
> Value of: entry->GetSSL().content_status & content::SSLStatus::DISPLAYED_PASSWORD_FIELD_ON_HTTP
>   Actual: false
> Expected: true
>
> Original issue's description:
> > Post tasks for sensitive input visibility notifications
> >
> > If password inputs are hidden and shown multiple times in the same task
> > (as apparently happens when processing a stylesheet), we don't want to
> > the omnibox warning to flicker in and out. Thus, this CL posts sensitive
> > input visibility notifications to the end of the task queue, so that the
> > omnibox warning updates get coalesced.
> >
> > BUG=664194
> > TEST=Visit http://http-password.badssl.com and observe that the omnibox
> > warning does not flicker in and out twice.
> >
> > Committed: https://crrev.com/7bdbe352cdbd7cc1dec2b71653e60b47688bd9e1
> > Cr-Commit-Position: refs/heads/master@{#434340}
>
> TBR=dcheng@chromium.org,haraken@chromium.org,estark@chromium.org
> # Skipping CQ checks because original CL landed less than 1 days ago.
> NOPRESUBMIT=true
> NOTREECHECKS=true
> NOTRY=true
> BUG=664194
>
> Committed: https://crrev.com/e0c7eb5a36b45db9a17c75715a99b3a547c45974
> Cr-Commit-Position: refs/heads/master@{#434400}

TBR=dcheng@chromium.org,haraken@chromium.org,tapted@chromium.org
# Not skipping CQ checks because original CL landed more than 1 days ago.
BUG=664194

Review-Url: https://codereview.chromium.org/2538473002
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#434820}
",TRUE,security,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
coopdevs/timeoverflow,e572437f110a977eddd801d4aebfa9bf599ce88d,"Remove next environment

It was used while migration the production server and since this one and
production configs are almost exact copies (just rails_env differs) it's
no longer needed.

And this brings simplicity back to this repo.

The most noticeable change is the removal of `url` from production's
database config as DATABASE_URL got removed in
https://github.com/coopdevs/timeoverflow-provisioning/pull/21 two years
ago and it's true in production:

```
timeoverflow@timeoverflow-production:~$ env | grep DATABASE
DATABASE_NAME=xxx
DATABASE_USER=xxx
DATABASE_PASSWORD=xxx
```
",FALSE,timeoverflow,,,22_mar_2021_time_pos_hits_079703f7a83e56a98d009570b52ca1f439f28081
IdentityModel/IdentityModelv2,acd67726d9ffa9622031413b0690fb0b512aa382,"more tests around sending client credentials in TokenClient
",TRUE,credentials,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
alchemy-fr/Phraseanet,6609ec8d034088f6abe18b44488a679230b6d2c5,"Add change_password feature
",TRUE,password,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
progmaticltd/homebox,78923bd49465860093c3043c4b56d5c78d52b58f,"Added https security headers for mta-sts
",TRUE,security,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
AndroidX/androidx,bbd3fa1cb3aa7552ccf67c6b5fbef39b51994a7f,"Adding first androidx security library

Updated SecureURL to make isValid(String, SSLSocket) package scope.
Added Constructor for non-client cert usage.

SecureCipher, added sign/verify, added version to file encoding.

hide ValidatableSSLSocket/Factory from external use. Also made them
package scope.

Project is building and passing lint.

Added tests, they require a device to run.
-Encrypt/Decrypt data
-Sign/verify data
-Check valid certs
-Save/Read encrypted files.
-Check existence of keys, create, delete keys

Test: ./gradlew buildOnServer
Change-Id: I4bc7c4ab03f7fb7b73319086f2779a71b32d8296
",TRUE,security,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
52North/series-rest-api,f24704b7fbaf5a7fbb1eddc9d8a1697015ebca54,"update github token
",TRUE,token,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
chromium/chromium,972453885009579d30608ca22b9c11ec4ef1bbc9,"kiosk: Fix regressions on network config flow

- Reset solidBackground flag when hiding kiosk launch splash screen
  so that the account picker screen for owner auth is shown properly;
- Fix network config screen not center aligned problem;

Bug: 763515
Cq-Include-Trybots: master.tryserver.chromium.linux:closure_compilation
Change-Id: I642890dd4d9ece0096127435764d63adffe227d0
Reviewed-on: https://chromium-review.googlesource.com/685368
Reviewed-by: Wenzhao (Colin) Zang <3bfe43dc09754df5a1fe9feb46624ad5cbab1aea@chromium.org>
Commit-Queue: Xiyuan Xia <db97f61d07c31fd69698b8602ab9b0e934f96b23@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#504551}",TRUE,auth,FALSE,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
stackforge/kolla,50f75729eb9465622e90d85153983116e5fd4fd1,"Use https links for documentation

Use https instead of http to ensure the safety.

Change-Id: Iaf09b5b878e117d2333c30b8a769304a4a20f7ee
",TRUE,safety,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
oat-sa/tao-core,6bf3e5e7e998cf255b90b014ea6da79d2dbbb552,"Bugfix #1300. Impossible to change TAO Backend User Password.

git-svn-id: 771dd8fe648f808a391b5ec3f0cc16d783d4492e@10993 62dfeb86-a93f-4914-9d13-15c0a160985d
",TRUE,password,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
openstack/openstack-manuals,99b1ab81aa46a485eb7d814522f4ffb7a05d16f7,"[common] add warning about saving password

Change-Id: I708d117d89c52b9758a15f837ddf9f401e4642c9
Closes-Bug: #1639290
",TRUE,password,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
Katello/katello,c3d3ebb1c748772bfd586c30b8d5b15e2463afe2,"Fixes a unknown resources error.

This occured when calling ping with bad credentials. Not very common,
but it did look wierd in the command line.
",TRUE,credentials,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
tprrt/linux-stable,b7a0365ec7a0fb1d39113846fd34038af68ebd01,"Btrfs: ctree: reduce args where only fs_info used

This patch is part of a larger project to cleanup btrfs's internal usage
of struct btrfs_root. Many functions take btrfs_root only to grab a
pointer to fs_info.

This causes programmers to ponder which root can be passed. Since only
the fs_info is read affected functions can accept any root, except this
is only obvious upon inspection.

This patch reduces the specificty of such functions to accept the
fs_info directly.

This patch does not address the two functions in ctree.c (insert_ptr,
and split_item) which only use root for BUG_ONs in ctree.c

This patch affects the following functions:
  1) fixup_low_keys
  2) btrfs_set_item_key_safe

Signed-off-by: Daniel Dressler <cb5b37bc23e1350708c40827673bf0bd9465c46f@gmail.com>
Signed-off-by: David Sterba <a2ce9d316ca04d17b520237d2846a218b8284e52@suse.cz>
",FALSE,safe,FALSE,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
MaibornWolff/codecharta,d20d1b83bbfb07c6d3e4b99e40d5bbb51ef24c06,"[Security] Bump handlebars from 4.0.11 to 4.1.0 in /visualization

Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.0.11 to 4.1.0. **This update includes security fixes.**
- [Release notes](https://github.com/wycats/handlebars.js/releases)
- [Changelog](https://github.com/wycats/handlebars.js/blob/master/release-notes.md)
- [Commits](https://github.com/wycats/handlebars.js/compare/v4.0.11...v4.1.0)

Signed-off-by: dependabot[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",TRUE,security,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
dslutz/qemu,f157ed202e51dc2492b201dc34ed28e89c973fb7,"tap: safe sndbuf default

With current sndbuf default value, a blocked
target guest can prevent another guest from
transmitting any packets. While current
sndbuf value (1M) is reported to help some
UDP based workloads, the default should
be safe (0).

Signed-off-by: Michael S. Tsirkin <255103e50249e3d658441816e0597170ebfc16ef@redhat.com>
Signed-off-by: Anthony Liguori <0212dd00c21e75e861d960b0cf505645317aaa0b@us.ibm.com>
",FALSE,safe,FALSE,not sure if networking or cyber safety is the reason,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
chromium/chromium,796349fc459bbc824ec369167a49536f43309203,"Improvements to permissions and permission warning docs;

* This is a redo of https://codereview.chromium.org/10964056/.
  I've actioned Mihai and Aaron's review comments.

* Created new file for permission content that was previously
nested in manifest file. Filtered apps and extensions content.

* Added topSites (extensions-only) permission to permissions
and permission warnings docs.

* Also added fileSystem permission (apps-only).

* Fixed link on optional permissions page to go
to new declare permissions documentation.


Review URL: https://chromiumcodereview.appspot.com/11017040

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@161498 0039d316-1c4b-4281-b951-d872f2087c98
",TRUE,permissions,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
juju/juju,36863d2e3ae668827d168b932168b8678410b812,"Adds rbacid to credential schema for K8s

The rbac label field was wrongly place on the credential schema in k8s.
This change adds it to the OAuth2 credential type
",TRUE,credential,,,22_mar_2021_pos_hits_a1a30f3674bed7adbaa1e8ce4d39ecdf9437c757
