repo_name,commit,message,Is_abstraction,Justification,Certain,Comment,Sampling
google/closure-library,7fe16d9e88e5a5cf8421619ea936db39f82e487f,"Implement JsUnit Environments.

Summary: JsUnit environments provide an abstraction for modifying the lifecycle of basic JsUnit tests by patching the existing setUp(Page)/tearDown(Page) methods with additional logic that can be shared across multiple tests.

Design doc: https://docs.google.com/a/google.com/document/d/1SRh0ZRr1NYmtoJD8GNnJA-0qkiq_0b7GIXzo4JKrHq8/
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=68057562
",TRUE,provide an abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
sippy/rtpproxy,576e99c3d7edd1b45709cbbcdf8ac824737345f4,"bulk_netio() - an abstraction API that can utilize either regular
sockets or new ""bulk"" socket syscalls. For now works on send only,
but receive part is to be added soon. WiP. Already fails down to
the regular I/O if module is not loaded.
",TRUE,abstraction API,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
apple/swift,c4ed7bd0bea80c0fd0873ed04edd3df40fe1ca49,"Merge pull request #30249 from gottesmm/pr-1c59567660f53bc35248d864c54d25e2760a74d0

[ownership] Implement InteriorPointer abstraction/validate current recognized ones addresses are not used outside of parent object's borrowed lifetime.",TRUE,implement abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
apple/swift,d1066d16a20838d7505248bd15a4d6d87034c9a9,"[IRGen] Use a canonical generic environment rather than an archetype builder.

Rather than directly using the ArchetypeBuilder associated with a
canonical generic signature, use a canonical GenericEnvironment
associated with that canonical generic signature. This has a few
benefits:

* It's cleaner to not have IRGen working with archetype builders;
  GenericEnvironment is the right abstraction for mapping between
  dependent types and archetypes for a specific context.
* It helps us separate the archetype builder from a *specific*
  set of archetypes. This is an ongoing refactor that is intended to
  allow us to re-use archetype builders across different generic
  environments.

As part of this, ArchetypeBuilder::substDependentType() has gone away
in favor of GenericEnvironment::mapTypeIntoContext().
",TRUE,the right abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
tensorflow/tensorflow,12c0719d526343d07883d61c0d1805e5ce6f821b,"[MLIR] Introduce normalized single-result unbounded AffineApplyOp

Supervectorization does not plan on handling multi-result AffineMaps and
non-canonical chains of > 1 AffineApplyOp.
This CL introduces a simpler abstraction and composition of single-result
unbounded AffineApplyOp by using the existing unbound AffineMap composition.

This CL adds a simple API call and relevant tests:

```c++
OpPointer<AffineApplyOp> makeNormalizedAffineApply(
  FuncBuilder *b, Location loc, AffineMap map, ArrayRef<Value*> operands);
```

which creates a single-result unbounded AffineApplyOp.
The operands of AffineApplyOp are not themselves results of AffineApplyOp by
consrtuction.

This represent the simplest possible interface to complement the composition
of (mathematical) AffineMap, for the cases when we are interested in applying
it to Value*.

In this CL the composed AffineMap is not compressed (i.e. there exist operands
that are not part of the result). A followup commit will compress to normal
form.

The single-result unbounded AffineApplyOp abstraction will be used in a
followup CL to support the MaterializeVectors pass.

PiperOrigin-RevId: 227879021
",TRUE,simpler abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
AndroidX/androidx,e855454acac8e6d87aaa8b3e67731fb83a22e882,"Remove struct used to hold dialog data.

Instead, just access this data off the Builder directly. If the values
need to be held on to longer than the constructor, then the dialog
should create individual fields for this.

The reasoning is that this reduces abstraction. The DialogData objects
also allowed values to change after its creation. This works for
Builder, but should not be the case for the dialog itself.

Refactoring in this way ensures the expected behavior.

Fixes: 78349123
Test: test on demo app for CarAlertDialog and CarListDialog. Ensured
functionality is still the same with no crashes.

Change-Id: I9316e76ca8691506fdab6726388a56c274f87014
",FALSE,reduces abstraction,FALSE,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
palantir/atlasdb,74e4360365bc658d50812aee9f41d12b0ac24e13,"ETE Tests of TimeLock Migration [TimeLock ETE Tests, Part III] (#1676)

* Wrote a failing test for the timelock migration ETE

* Super hacky, but working timelock migration test

* Multistage ETE test

* Some reformatting/cleanup

* Banish the Docker orchestration stuff to a separate layer of abstraction

* Refactor some duplication/dirtiness in OrchestrationRule and EteTest

* Use AssertJ's soft-assertions

* Check timestamp values too

* [no release notes]

* Make the timestamp check more stringent

* PR comments
",TRUE,a seperate layer of astraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
nwjs/chromium.src,7f1935cd797540afa78326b3b59c2ee0603a66db,"Standardized the JS calling convention
https://bugs.webkit.org/show_bug.cgi?id=72221
        
Reviewed by Oliver Hunt.

This patch standardizes the calling convention so that the caller always
sets up the callee's CallFrame. Adjustments for call type, callee type,
argument count, etc. now always take place after that initial setup.
        
This is a step toward reversing the argument order, but also has these
immediate benefits (measured on x64):
        
(1) 1% benchmark speedup across the board.
        
(2) 50% code size reduction in baseline JIT function calls.
        
(3) 1.5x speedup for single-dispatch .apply forwarding.
        
(4) 1.1x speedup for multi-dispatch .apply forwarding.

This change affected the baseline JIT most, since the baseline JIT had
lots of ad hoc calling conventions for different caller / callee types.

* assembler/MacroAssemblerX86_64.h:
(JSC::MacroAssemblerX86_64::branchPtr):
(JSC::MacroAssemblerX86_64::branchAddPtr): Optimize compare to 0 into
a test, like other assemblers do. (I added some compares to 0, and didn't
want them to be slow.)

* bytecode/CodeBlock.cpp:
(JSC::CodeBlock::dump): Merged op_load_varargs into op_call_varargs so
op_call_varargs could share code generation with other forms of op_call.
This is also a small optimization, since op_*varargs no longer have to
pass arguments to each other through the register file.

(JSC::CallLinkInfo::unlink):
* bytecode/CodeBlock.h: Added a new call type: CallVarargs. This allows
us to link functions called through .apply syntax. We need to distinguish
CallVarargs from Call because CallVarargs changes its argument count
on each inovcation, so we must always link to the argument count checking
version of the callee.

* bytecode/Opcode.h:
* bytecompiler/BytecodeGenerator.cpp:
(JSC::BytecodeGenerator::emitCallVarargs):
* bytecompiler/BytecodeGenerator.h: Merged op_load_varargs into op_call_varargs.

* bytecompiler/NodesCodegen.cpp:
(JSC::ApplyFunctionCallDotNode::emitBytecode): Ditto. Also, simplified
some of this bytecode generation to remove redundant copies.

* dfg/DFGJITCodeGenerator32_64.cpp:
(JSC::DFG::JITCodeGenerator::emitCall):
* dfg/DFGJITCodeGenerator64.cpp:
(JSC::DFG::JITCodeGenerator::emitCall): Added a new call type: CallVarargs.
DFG doesn't support this type, but its code needs to change slightly
to accomodate a 3-state variable.

Stopped passing the argument count in regT1 because this is non-standard.
(The argument count goes in the CallFrame. This trades speed on the slow
path for speed and code size on the fast path, and simplicity on all paths.
A good trade, in my opinion.)

* dfg/DFGJITCompiler.cpp:
(JSC::DFG::JITCompiler::compileEntry):
(JSC::DFG::JITCompiler::link):
(JSC::DFG::JITCompiler::compile):
(JSC::DFG::JITCompiler::compileFunction): Tweaked code to make CallFrame
setup more obvious when single-stepping. Also, updated for argument count
not being in regT1.

* dfg/DFGJITCompiler.h:
(JSC::DFG::JITCompiler::addJSCall):
(JSC::DFG::JITCompiler::JSCallRecord::JSCallRecord): Added a new call
type: CallVarargs.

* dfg/DFGOperations.cpp: Do finish CallFrame setup in one place before
doing anything else. Don't check for stack overflow because we have no callee
registers, and our caller has already checked for its own registers.

* dfg/DFGRepatch.cpp:
(JSC::DFG::dfgLinkFor): We can link to our callee even if our argument
count doesn't match -- we just need to link to the argument count checking
version.

* interpreter/CallFrameClosure.h:
(JSC::CallFrameClosure::setArgument): BUG FIX: When supplying too many
arguments from C++, we need to supply a full copy of the arguments prior
to the subset copy that matches our callee's argument count. (That is what
the standard calling convention would have produced in JS.) I would have
split this into its own patch, but I couldn't find a way to get the JIT
to fail a regression test in this area without my patch applied.

* interpreter/Interpreter.cpp: Let the true code bomb begin!

(JSC::eval): Fixed up this helper function to operate on eval()'s CallFrame,
and not eval()'s caller frame. We no longer leave the CallFrame pointing
to eval()'s caller during a call to eval(), since that is not standard.

(JSC::loadVarargs): Factored out a shared helper function for use by JIT
and interpreter because half the code means one quarter the bugs -- in my
programming, at least.

(JSC::Interpreter::execute): Removed a now-unused way to invoke eval.
        
(JSC::Interpreter::privateExecute): Removed an invalid ASSERT following
putDirect, because it got in the way of my testing. (When putting a
function, the cached base of a PutPropertySlot can be 0 to signify ""do
not optimize"".)
        
op_call_eval: Updated for new, standard eval calling convention.
        
op_load_varargs: Merged op_load_varargs into op_call_varargs.

op_call_varags: Updated for new, standard eval calling convention. Don't
check for stack overflow because the loadVarargs helper function already
checked.

* interpreter/Interpreter.h:
(JSC::Interpreter::execute): Headers are fun and educational!

* interpreter/RegisterFile.cpp:
(JSC::RegisterFile::growSlowCase):
* interpreter/RegisterFile.h:
(JSC::RegisterFile::grow): Factored out the slow case into a slow
case because it was cramping the style of my fast case.

* jit/JIT.cpp:
(JSC::JIT::privateCompile): Moved initialization of
RegisterFile::CodeBlock to make it more obvious when debugging. Removed
assumption that argument count is in regT1, as above. Removed call to
restoreArgumentReference() because the JITStubCall abstraction does this for us.

(JSC::JIT::linkFor): Link even if we miss on argument count, as above.

* jit/JIT.h:
* jit/JITCall32_64.cpp:
(JSC::JIT::emitSlow_op_call):
(JSC::JIT::emitSlow_op_call_eval):
(JSC::JIT::emitSlow_op_call_varargs):
(JSC::JIT::emitSlow_op_construct):
(JSC::JIT::emit_op_call_eval):
(JSC::JIT::emit_op_call_varargs): Share all function call code generation.
Don't count call_eval when accounting for linkable function calls because
eval doesn't link. (Its fast path is to perform the eval.)

(JSC::JIT::compileLoadVarargs): Ported this inline copying optimization
to our new calling convention. The key to this optimization is the
observation that, in a function that declares no arguments, if any
arguments are passed, they all end up right behind 'this'.

(JSC::JIT::compileCallEval):
(JSC::JIT::compileCallEvalSlowCase): Factored out eval for a little clarity.

(JSC::JIT::compileOpCall):
(JSC::JIT::compileOpCallSlowCase): If you are still with me, dear reader,
this is the whole point of my patch. The caller now unconditionally moves
the CallFrame forward and fills in the data it knows before taking any
branches to deal with weird caller/callee pairs.
        
This also means that there is almost no slow path for calls -- it all
gets folded into the shared virtual call stub. The only things remaining
in the slow path are the rare case counter and a call to the stub.

* jit/JITOpcodes32_64.cpp:
(JSC::JIT::privateCompileCTIMachineTrampolines):
(JSC::JIT::privateCompileCTINativeCall): Updated for values being in
different registers or in memory, based on our new standard calling
convention.
        
Added a shared path for calling out to CTI helper functions for non-JS
calls.

* jit/JITPropertyAccess32_64.cpp:
(JSC::JIT::emit_op_method_check): method_check emits its own code and
the following get_by_id's code, so it needs to add both when informing
result chaining of its result. This is important because the standard
calling convention can now take advantage of this chaining.

* jit/JITCall.cpp:
(JSC::JIT::compileLoadVarargs):
(JSC::JIT::compileCallEval):
(JSC::JIT::compileCallEvalSlowCase):
(JSC::JIT::compileOpCall):
(JSC::JIT::compileOpCallSlowCase):
* jit/JITOpcodes.cpp:
(JSC::JIT::privateCompileCTIMachineTrampolines):
(JSC::JIT::emit_op_call_eval):
(JSC::JIT::emit_op_call_varargs):
(JSC::JIT::emitSlow_op_call):
(JSC::JIT::emitSlow_op_call_eval):
(JSC::JIT::emitSlow_op_call_varargs):
(JSC::JIT::emitSlow_op_construct): Observe, as I write all of my code a
second time, now with 64 bits.

* jit/JITStubs.cpp:
(JSC::throwExceptionFromOpCall):
(JSC::jitCompileFor):
(JSC::arityCheckFor):
(JSC::lazyLinkFor): A lot of mechanical changes here for one purpose:
Exceptions thrown in the middle of a function call now use a shared helper
function (throwExceptionFromOpCall). This function understands that the
CallFrame currently points to the callEE, and the exception must be
thrown by the callER. (The old calling convention would often still have
the CallFrame pointing at the callER at the point of an exception. That
is not the way of our new, standard calling convention.)

(JSC::op_call_eval): Finish standard CallFrame setup before calling 
our eval helper function, which now depends on that setup.

* runtime/Arguments.h:
(JSC::Arguments::length): Renamed numProvidedArguments() to length()
because that's what other objects call it, and the difference made our
new loadVarargs helper function hard to read.

* runtime/Executable.cpp:
(JSC::FunctionExecutable::compileForCallInternal):
(JSC::FunctionExecutable::compileForConstructInternal): Interpreter build
fixes.

* runtime/FunctionPrototype.cpp:
(JSC::functionProtoFuncApply): Honor Arguments::MaxArguments even when
the .apply call_varargs optimization fails. (This bug appears on layout
tests when you disable the optimization.)


git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@100165 bbb929c8-8fbe-4397-9dbb-9b2b20218538",FALSE,the JITStubCall abstraction does this for us,FALSE,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
ucoin-io/ucoin-python-api,d31e9f6f65c4bf7b6259b2401c6b0d169e18fbf6,"[enh] #58 refactor client.connect_ws() with a new WSConnection class (break BC !)

To simplify the use of the aiohttp web socket connection, use an abstraction layer with our own WSConnection class

connect_ws is an async function now ! (break BC !)
",TRUE,abstraction layer,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
DV8FromTheWorld/JDA,63329c956a79fb631c3068a28133c189f1667c66,"First pass on new event docs (#636)

* Restructure GenericMessageEvent (#637)
* Added UpdateEvent abstraction
* Added note for TextChannel.deleteMessages in Message.delete documentation
* Fixed &gt; tag in StatsUpdateEvent docs
",TRUE,added UpdateEvent abstraction,,,14_jan_2021_abstraction_c8635d2e58d1a5716dc185427bb5bf5c83a1376b
google/clspv,806a5d8aa57b73fd7a291d11c88aad8121dc3713,"cl_khr_subgroups support (#603)

Contributes to #602.


* Added SPIRVProducerPass::addSPIRVGlobalVariable to also capture entry_point_interface when -spirv-std=1.4 or greater
* Added builtin function mapping:
  * get_sub_group_size - SubgroupSize
  * get_num_sub_groups - NumSubgroups
  * get_sub_group_id - SubgroupId
  * get_sub_group_local_id - SubgroupLocalInvocationId

  * sub_group_all - OpGroupNonUniformAll
  * sub_group_any - OpGroupNonUniformAny
  * sub_group_broadcast - OpGroupNonUniformBroadcast

  * sub_group_<group_operation>_add
    * INT: OpGroupNonUniformIAdd
    * FLOAT: OpGroupNonUniformFAdd
  * sub_group_<group_operation>_min
    * INT: OpGroupNonUniformSMin
    * UINT: OpGroupNonUniformUMin
    * FLOAT: OpGroupNonUniformFMin
  * sub_group_<group_operation>_max
    * INT: OpGroupNonUniformSMax
    * UINT: OpGroupNonUniformUMax
    * FLOAT: OpGroupNonUniformFMax
  * With <group_operation> correspondingly:
    * reduce - GroupOperationReduce
    * scan_exclusive - GroupOperationExclusiveScan
    * scan_inclusive - GroupOperationInclusiveScan

Added tests in test/SubGroup:

* sub_group_broadcast.cl
* sub_group_id.cl
* sub_group_reduce.cl
* sub_group_scan_exclusive.cl
* sub_group_scan_inclusive.cl

* Documented in OpenCLOnVulkan.md
* make -spv-version a support command-line switch
* require constant laneId for sub_group_barrier
",TRUE,estended interface,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
wso2/wso2-axis2-transports,8a925969c4754504779c6640b2a966a8312e5461,"Resolve wso2/product-ei#2776

When receiving messages from IBM-MQ through a JMS proxy the Content-Type
the header is getting removed. This causes to understand the message as
a plain/text. Beacause of this the response message is wrapped around a
CDATA tag. The commit resolves this issue.
",FALSE,proxy,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
kabisa/kudo-o-matic,54b06ab376cac5d9398c83800e82f3fb41fc6444,"Fixed typos in templates
",FALSE,templates,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
apache/spark,d50d12b49f98e18abd1c0b054b23a64fefd92ea2,"[SPARK-19302][DOC][MINOR] Fix the wrong item format in security.md

## What changes were proposed in this pull request?

In docs/security.md, there is a description as follows.

```
 steps to configure the key-stores and the trust-store for the standalone deployment mode is as
 follows:
 * Generate a keys pair for each node
 * Export the public key of the key pair to a file on each node
 * Import all exported public keys into a single trust-store
```

According to markdown format, the first item should follow a blank line.

## How was this patch tested?

Manually tested.

Following captures are rendered web page before and after fix.

* before
![before](https://cloud.githubusercontent.com/assets/4736016/22136731/b358115c-df19-11e6-8f6c-2f7b65766265.png)

* after
![after](https://cloud.githubusercontent.com/assets/4736016/22136745/c6366ff8-df19-11e6-840d-e7e894218f9c.png)

Author: sarutak <sarutak@oss.nttdata.co.jp>

Closes #16653 from sarutak/SPARK-19302.
",FALSE,security,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
neos/flow-development-collection,8c1e3fb736ddff9fb845f9f4aee2bb9cadc3e5da,"Merge ""[TASK] Some cleanup to security (tests)""
Original-Commit-Hash: 092fd81a19c3567d15ea586faedcc3a5c1118d41
",FALSE,security,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
redhat-openstack/infrared,f942b6c154f34dfcb557b321534b5e37a86b61ff,"Update composition roles files to match OSP15

References:
https://github.com/openstack/tripleo-heat-templates/commit/f3b85e4ba527d8b4ddba8458b527b18e0e10efa8
https://github.com/openstack/tripleo-heat-templates/commit/845bc3e845e737cebdc2dc93d80767c4c2682b3a
https://github.com/openstack/tripleo-heat-templates/commit/7bebdefda849f078064f66b850114baf29a238c9
https://github.com/openstack/tripleo-heat-templates/commit/f7f90539636e89a2a10d5238b88cc037ccfca50d

Change-Id: Ifdd777496853c3941d3eb759264c7b87b2ad2a33
",TRUE,composition rules,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
nwjs/chromium.src,5d01e7d6448d8bc11f270facabf274b25227f7ed,"Add remaining mojo methods to device::mojom::MtpManager.

This CL makes device::mojom::MtpManager interface complete with
remaining methods. Clients will be migrated to use MTP mojo
interfaces in the subsequent CL.

BUG=769630

Change-Id: Ic0c443873f7645c4d221fb8892a322c2d2162bfe
Reviewed-on: https://chromium-review.googlesource.com/1002572
Commit-Queue: Donna Wu <95a9fba4595ae7f5767006c2716f9837a2a85c78@intel.com>
Reviewed-by: Tom Sepez <47f022c5217a84c904816c5375403e20a45c37f6@chromium.org>
Reviewed-by: Colin Blundell <e6fc70f7038230a5bea99aab14a7015756c42ad5@chromium.org>
Reviewed-by: Lei Zhang <79648d9aca10df37c1b962af0b65ebfac3e19883@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#552652}",TRUE,interface,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
tprrt/linux-stable,49ce9c2cda18f62b13055dc715e7b514157c2da8,"drivers/net/ethernet: Fix (nearly-)kernel-doc comments for various functions

Fix incorrect start markers, wrapped summary lines, missing section
breaks, incorrect separators, and some name mismatches.  Delete
a few that are content-free.

Signed-off-by: Ben Hutchings <0672176982fbc629cc374f31a7a45ae1671abf90@solarflare.com>
Acked-by: Jeff Kirsher <87e35f5be20bb3e67f4ba6b86f5f6be3085b1b3a@intel.com>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",FALSE,markers,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
hep-mirrors/herwig,dc1f9fc7b41fdba0ce2ed0293b04278e69a70dbc,"Efficiency improvements to MPIPDF. Now calling sea quark dists directly.
",FALSE,efficiency,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
zstackio/zstack-utility,9435358f80ff9400cf2e74aad8fe630158f8837d,"improve the performance of sshfs with 20% faster

Signed-off-by: Qun Li <1ea81f54854048d0a4d4fd61caceabb2a843281c@zstack.io>
",FALSE,performance,,,14_jan_2021_abstraction_0b713a426271a9ce9c8463ac224496ff8c99e138
gradle/gradle,54bf308bc54e2c632752ec4d5cdccf90122d6baf,"More work on experimental dependency graph api.

1. Updated the experimental api to the types we decided on during pairing: DependencyGraph, ResolvedModuleVersionResult, ResolvedDependencyResult.
2. It's just another step, more improvements / tidy up is coming soon.
",FALSE,dependency api,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
spotify/luigi,4dcdc38f2478b52b5b57cd50ae8e4be5680d03cf,"Allows limiting of graph size returned by scheduler

Like with task lists, excessively large graphs can render the visualiser
unusable. To prevent this issue, we've added a max-graph-nodes parameter that
cuts off the graph after enough nodes are seen.

In order to achieve this, the graph recursion had to be re-written as a an
iterative breadth-first traversal. The inverse dependency graph function was
re-written to be able to call this same traversal, resulting in greatly improved
complexity. Rather than scanning the entire graph once per node to find its
reverse neighbors, we scan the whole graph exactly once and store the reverse
edges in a lookup table. This improves the complexity from number of nodes times
size of graph to just number of nodes.
",FALSE,inverse dependenct function,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
chromium/chromium,a4a150e732023e312a86cdff2cac92a457a08518,"Add SafeBrowsingProtocolManagerDelegate class.

This removes any direct dependency of SafeBrowsingService on SafeBrowsingProtocolManager, and should make it easier to unit test SafeBrowsingProtocolManager.

BUG=158246


Review URL: https://chromiumcodereview.appspot.com/11340020

git-svn-id: de016e52bd170d2d4f2344f9bf92d50478b649e0@165865 0039d316-1c4b-4281-b951-d872f2087c98
",TRUE,remove direct dependency,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
kubernetes-csi/csi-driver-nfs,04991c36afbc3f4eec2e6ff8e261ef2f65e25c18,"chore: upgrade k8s v0.19.0 dependency to v0.20.0
",FALSE,upgrade dependency,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
Azure/azure-sdk-for-java,7174a0fbdc6ad880bcd12daf5f269b8bb77a9143,"Merge pull request #394 from stankovski/dev

Added coreclr dependencies to nuspec and downgraded package dependencies to stable builds",FALSE,added dependencies,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
jetstack-experimental/cert-manager,c7034f6aacf8a8ceb41f44b763b52f3e60291ae3,"Update dependencies for route53
",FALSE,updated dependencies,,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
arlac77/uri-resolver,25e05536e3b6388bf39c1d9e3641be90149981f1,"chore(devDependencies): add rollup-plugin-executable:^1.2.0 from template
chore(devDependencies): add babel-preset-env:^1.6.1 from template
chore(devDependencies): update semantic-release:^15.3.1 from template",FALSE,devDepdendencies,FALSE,,14_jan_2021_abstraction_depend_0b713a426271a9ce9c8463ac224496ff8c99e138
