repo_name,commit,message,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective,Justification,Comment,Certain,Sampling
DataONEorg/d1_python,8596c4589b4355ff83bd384d6e00888fe599fcde,"- Added support for delete() in mnclient.
- Added support for enumerateObjects() in mnclient.
- Removed client.py
- Added basic argument checking to d1baseclient.listObjects()

",FALSE,,TRUE,FALSE,added,,,random_batch_18_nov_2020
samba-team/samba,3af5838096872039ac201385763f1e4c0fafb034,"r21090: Add some helper routines
(This used to be commit 985dde8ed0a7e6da5adf9c55654a4fd362b22acb)
",TRUE,TRUE,FALSE,FALSE,,,,random_batch_18_nov_2020
consulo/consulo,e481af005f3628f9072134d448a80ed293beb503,"fix NPE (IDEA-97162 NullpointerException when trying to build JAVA webapp)
",FALSE,FALSE,FALSE,TRUE,,"fix, npe",,random_batch_18_nov_2020
powsybl/powsybl-core,a2da1306b46f6649ba5c92cb285ec26be1bbe0f0,"Iidm util branchData. Delete structuralRatio in lines with different nominal voltage at the ends. (#1398)

* Delete structuralRatio in lines with different nominal voltage at the ends
* Fix tests

Signed-off-by: José Antonio Marqués <f01731253c330b582462ef33c31a6811e51a91cb@aia.es>",FALSE,FALSE,TRUE,TRUE,"delete, fix",,,random_batch_18_nov_2020
TechEmpower/FrameworkBenchmarks,a96c6989d59693827e4711ee175052f44d1e3913,"PHPixie framework
",FALSE,FALSE,TRUE,FALSE,,,FALSE,random_batch_18_nov_2020
shoopio/shoop,a8ba1c08ae56dfd62d5c604e853c00341db7dd1f,"GDPR: Add consent re-request

If user had consented to something already and the page changes, request new consent.
",FALSE,FALSE,TRUE,FALSE,add,,,random_batch_18_nov_2020
openstack/nova,debd702d90b7e39f02b438979365dd09f730f878,"Merge ""Use fixtures library for nova test fixtures.""",FALSE,FALSE,TRUE,FALSE,use,,,random_batch_18_nov_2020
RedHatInsights/insights-core,6d90f98767db0025bf870044a99f4e1e0e279a95,"Update config files and log in specs (#1087)

- From OSP 12, OpenStack is containerization. The log and config files are put in new location

Signed-off-by: lichen <a7eeceea24a7634e43c61507f50c70af0e6a8bc6@redhat.com>",FALSE,FALSE,TRUE,FALSE,update config,,,random_batch_18_nov_2020
Flexget/Flexget,868c3f7fbb545152e687d310ace832365c2ad8f0,"Fixed tests
",FALSE,FALSE,FALSE,TRUE,fixed tests,,,random_batch_18_nov_2020
PX4/Firmware,986145ac234af6d5014d3c6045bb0797361a4a5f,"ROMFS: Free flash by being less verbose
",FALSE,FALSE,TRUE,FALSE,free...by,,,random_batch_18_nov_2020
JGRennison/OpenTTD-patches,d2cd93fee28637859dfbd8e0b56c3e009ecc54dd,"(svn r20451) -Codechange: Add helper function Window::GetScrollbar() to get the Scrollbar belonging to a scrollbar widget.
",TRUE,TRUE,FALSE,FALSE,helper function,,,random_batch_18_nov_2020
yast/yast-autoinstallation,74a13ced0cda4498beac353a5ecb719d92e4d694,"fix missing documentation regarding bnc#776631
",FALSE,TRUE,FALSE,FALSE,missing documentation,,,random_batch_18_nov_2020
kontalk/androidclient,b7468413cf0584d481845746c77d53919372332b,"Bump to version 36 (3.0-beta3)

Signed-off-by: Daniele Ricci <08360db1a9d16422a67edfa3456e0fbc2c91e6e3@gmail.com>
",FALSE,TRUE,FALSE,FALSE,bump to version,,,random_batch_18_nov_2020
cyclestreets/cyclescape,d7d1eedd0091aa42db1c6fc0b770bcb6e428666d,"add shortcut profile routes
",FALSE,FALSE,TRUE,FALSE,add,,,random_batch_18_nov_2020
CESNET/libyang,97d1e6fe7b284da51f56354a06881c89f2af47d3,"parser yang CHANGE support extension in action, rpc, input, output, notification statement

not supported in substatements
",FALSE,FALSE,TRUE,FALSE,change,,,random_batch_18_nov_2020
openstates/openstates.org,d03006dac0a9803b40e94b7ee2404806bb496ec7,"view for admin to approve/reject user-suggested changes completed
",FALSE,FALSE,TRUE,FALSE,view for admin,,,random_batch_18_nov_2020
conda-forge/staged-recipes,ee155e9ce532282801d1ff87d366a143b44351d9,"update meta.yaml requirements
",FALSE,TRUE,FALSE,FALSE,yaml,,,random_batch_18_nov_2020
Citadel-Station-13/Citadel-Station-13,6dd45dee7f29818d65505ad1504b5e572cc6f610,Automatic changelog generation for PR #547 [ci skip],FALSE,TRUE,FALSE,FALSE,changelog,,,random_batch_18_nov_2020
sborenst/ansible_agnostic_deployer,8aa9ed6f69f24e90fa245a639aa225ae99be5d49,"created babylon-job-runner role
",FALSE,FALSE,TRUE,FALSE,created,,,random_batch_18_nov_2020
koala-framework/koala-framework,c13e083fbe1fcffcc845b3688c772c76cad669f7,"cache reaktiviert, babytuch problem wurde umgangen
",FALSE,FALSE,TRUE,FALSE,problem,"German, not in English",FALSE,random_batch_18_nov_2020
MyCoRe-Org/mycore,5c93b1b864601a9f40efa049dafdab1e1bbd7e4f,"split up MCRServlet.getSession() in a getter and a setter
added MCRSessionMgr.hasCurrentSession() to determine if a session is bound to the current thread

git-svn-id: 5c3a6088a260de08063aa573fa0e2db6520eb9b6@19694 7089d063-bc14-496d-ac90-53de1872eb6c
",TRUE,TRUE,FALSE,FALSE,split up,,,random_batch_18_nov_2020
materialsproject/pymatgen,85e0e8d306041180090aea08d4238de9a189e06c,"Merge branch 'master' into pycdt

# Conflicts:
#	pymatgen/analysis/defects/point_defects.py
#	pymatgen/analysis/defects/tests/test_point_defects.py
",FALSE,FALSE,TRUE,FALSE,"no text, defects in the source file",,,random_batch_18_nov_2020
openssl/openssl,75dcf70a990d751f4bfe7844bcb7480fc1de3c84,"remove RAND_screen and friends

Reviewed-by: Matt Caswell <1fa2ef4755a9226cb9a0a4840bd89b158ac71391@openssl.org>
Reviewed-by: Tim Hudson <eb0be8e447f673b41b10eda09d63cd72526b0a42@openssl.org>
Reviewed-by: Rich Salz <c04971a99e5a9ee80eaab4b1deb37e845b0bd697@openssl.org>
(Merged from https://github.com/openssl/openssl/pull/1079)",FALSE,FALSE,TRUE,FALSE,remove,,FALSE,random_batch_18_nov_2020
llvm-mirror/lldb,391d612764b804b2f5c6b695fad847aeb56f3ffb,"Scratch that, the problem was elsewhere.


git-svn-id: 4c4cc70b1ef44ba2b7963015e681894188cea27e@181582 91177308-0d34-0410-b5e6-96231b3b80d8
",FALSE,FALSE,FALSE,TRUE,"problem, by code",,,random_batch_18_nov_2020
symfony/symfony,2ca73f9d7ea08be031673ca4258a09328fe420bb,"merged branch pborreli/posix-fix (PR #5047)

Commits
-------

1d6611b [Filesystem] Fixed tests on system without posix

Discussion
----------

[Filesystem] Fixed tests on system without posix

Bug fix: yes
Feature addition: no
Backwards compatibility break: no
Symfony2 tests pass: master is broken
Fixes the following tickets: None
License of the code: MIT
",FALSE,FALSE,FALSE,TRUE,fixed,,,random_batch_18_nov_2020
gradle/gradle,6bba05fd537c61a09eca385271ab007f54738114,"Fix typo in upgrading guide

Signed-off-by: Paul Merlin <a027184a55211cd23e3f3094f1fdc728df5e0500@gradle.com>
",FALSE,TRUE,FALSE,FALSE,"typo, guide",,,random_batch_18_nov_2020
wikimedia/wikipedia-ios,7c4fc8847c7c9eebd7e1f5b69a284a0c1a72987f,"discrete states for the overlay height
",FALSE,FALSE,TRUE,FALSE,,,,random_batch_18_nov_2020
alphagov/static,00cc5fa41473721f6f34ff5fdb8d139598de2948,"removed transparency link
",FALSE,FALSE,TRUE,FALSE,removed,,,random_batch_18_nov_2020
Taeung/tip,0a9e63aa397711cb7dd8a5c3db33448740a0b844,"firmware: Use PTR_ERR_OR_ZERO()

Fix ptr_ret.cocci warnings:
drivers/firmware/efi/efi.c:610:8-14: WARNING: PTR_ERR_OR_ZERO can be used

Use PTR_ERR_OR_ZERO rather than if(IS_ERR(...)) + PTR_ERR

Generated by: scripts/coccinelle/api/ptr_ret.cocci

Signed-off-by: Vasyl Gomonovych <6f721404e611c2edafb8c2596fb355cebf423a30@gmail.com>
Signed-off-by: Michael S. Tsirkin <255103e50249e3d658441816e0597170ebfc16ef@redhat.com>
Acked-by: Gabriel Somlo <0bda901f34b59fdc0593dc5ef2b1790278d1dfd8@cmu.edu>
Reviewed-by: Stefan Hajnoczi <484520986196e4a799496429ce8a499eb6488adb@redhat.com>
",TRUE,TRUE,FALSE,FALSE,fix warnings,,,random_batch_18_nov_2020
JetBrains/jdk8u_jdk,300886b9650b4425c43f1810f8b66b9351eae28f,"6921001: api/java_security/IdentityScope/IdentityScopeTests.html#getSystemScope fails starting from b78 JDK7
Reviewed-by: mullan
",FALSE,FALSE,FALSE,TRUE,fails,,,random_batch_18_nov_2020
buildkite/agent,42d3d595e9bdfc1454a1aba990dbe4a905ad5b7c,"Merge pull request #514 from buildkite/refactor-bootstrap-known-hosts

Refactor bootstrap into knownhosts.go and locks.go",TRUE,TRUE,FALSE,FALSE,refactor,,,random_batch_18_nov_2020
chef/omnibus-software,a3a2c80125c58e0c2d78636fd9ad3862c393fbb3,"Bump berkshelf to address http -> https redirects
",FALSE,TRUE,FALSE,FALSE,bump,,FALSE,random_batch_18_nov_2020
stinsonga/emacs-mirror,2f4c3d6df6d79fd49cb49cf3aa7f4610b78b21b4,"(ftfont_font_format) [! FC_FONTFORMAT]: Declare ""int len;"".
",FALSE,FALSE,FALSE,TRUE,missing decleration,semantic,,random_batch_18_nov_2020
Ensembl/ensembl,9e04596beb96f606833d38feabcb0fdf67d59e0c,"some edits ...
",FALSE,FALSE,TRUE,FALSE,,,FALSE,random_batch_18_nov_2020
oat-sa/extension-tao-testqti,9bffd8a6053e0162251ad2cb17e209856e8429b9,"Merge pull request #986 from oat-sa/fix/TAO-4925-zoom

Fix/tao 4925 zoom",FALSE,FALSE,FALSE,TRUE,fix,,,random_batch_18_nov_2020
kiwitcms/Kiwi,50178e2d1cd9ebdb38d3174b9456880e6150f3a3,"Remove expression with no effect. Fixes CID #289974
",TRUE,TRUE,FALSE,FALSE,no effect,some case of dead code,,random_batch_18_nov_2020
root-mirror/root,31aefe06c3887a8c0f17542d24508db6ea1f5ef5,"Fix MSVC compilation error C2065: 'thread_local' : undeclared identifier

Cannot use the proper 'static __declspec(thread)' definition, since it gives the following errors:
error C2483: 'includeName' : object with constructor or destructor cannot be declared 'thread'
",FALSE,FALSE,FALSE,TRUE,compilation error,,,random_batch_18_nov_2020
InfiniteFlightAirportEditing/Airports,13dafe05f7ffd6db29ff07ec011397755fdf335b,"YSCB - Fixes

Beacon added, taxiways overlapped with runway, some spawns' type was
added

#102
",FALSE,FALSE,FALSE,TRUE,fixes,,,random_batch_18_nov_2020
Mocha2007/mochalib,5ff7c0f0b4376aa65f4ad5904144f1031a800f4d,"electronegativity
",FALSE,FALSE,TRUE,FALSE,,,FALSE,random_batch_18_nov_2020
AlchemyCMS/alchemy_cms,c854fd8b5a6c94652a30cc5b3e85f128c17bdcff,"Deprecate external and controller redirects on page

Instead use a menu node with either the external url or
your controller path.
",TRUE,TRUE,FALSE,FALSE,deprecate,,,random_batch_18_nov_2020
swisscom/open-service-broker,de52de22c6decd5a16b6fae7344f1c47605b7866,"chore: clean-up everything within ServiceLifeCycler
",TRUE,TRUE,FALSE,FALSE,clean-up,,,random_batch_18_nov_2020
facebookexperimental/eden,954ae64c775d92bbbce87ff451be1b9f615475b5,"tests: update check tests

fbshipit-source-id: 7deb61c17bf461b7632a1d3f3d7f2ae8a8828ede
",FALSE,FALSE,TRUE,FALSE,update,,,random_batch_18_nov_2020
pkiraly/metadata-qa-marc,823103a3930d9f7b349be832e857644bb6956b87,"Update com.fasterxml.jackson.core version
",FALSE,FALSE,TRUE,FALSE,update,,,random_batch_18_nov_2020
alphagov/content-tagger,6ccdc15f71113b687a6d48e1e4741ab3cfeededd,"Merge pull request #612 from alphagov/fix_error_in_metrix

Fix typo in record_taxons_per_level_metrics task",TRUE,TRUE,FALSE,FALSE,typo,,,random_batch_18_nov_2020
campsych/concerto-platform,8a4b7b7037fdd8eda0317b4538100ffaf1d1d5aa,"fixed check for test modification on import
",FALSE,FALSE,FALSE,TRUE,fix,,,random_batch_18_nov_2020
Taeung/tip,76629165913a6d5542bbe735191b021f31dd3798,"f2fs: report -ENOENT for unreached data indices

If inode has inline_data, it should report -ENOENT when accessing out-of-bound
region.
This is used by f2fs_fiemap which treats -ENOENT with no error.

Signed-off-by: Jaegeuk Kim <71255387a32c360dfbe6dfb7aaeb123bf1dc8cb6@kernel.org>
",FALSE,FALSE,FALSE,TRUE,error,,FALSE,random_batch_18_nov_2020
getninjas/gaiden,c25d998ef351d3932c0683d672a48be7fd6c78c2,"Recursive on cp
",FALSE,FALSE,FALSE,TRUE,,by  code,FALSE,random_batch_18_nov_2020
Ocramius/ProxyManager,1d43fe8bacd0d854af88c8dd283a191f83c3072c,"Make PSR-2 pass on travis build
",FALSE,FALSE,FALSE,TRUE,make pass,,,random_batch_18_nov_2020
podverse/podverse-web,ec1d9e594afc5b2c15a4b832abe9af43c31d4b99,"Update src/redux/reducers/currentPage.ts
",FALSE,FALSE,TRUE,FALSE,update,,,random_batch_18_nov_2020
mozilla/addons-server,aac39f1b6f5cceecb59de3fdd5ae0b845e6e0a0a,"Pontoon: Update Georgian (ka) localization of AMO
Co-authored-by: G12r <440f9315b603b34400d0b43b489d71dad6156682@outlook.com>
",FALSE,TRUE,FALSE,FALSE,Georgian localization,,,random_batch_18_nov_2020
shish/shimmie2,286e75bef0cf0db9103dfeb2dacb47249499d5d8,"Scrutinizer complains that these functions aren't defined, yet they really are.
",TRUE,TRUE,FALSE,FALSE,kind of a warining fix,by code,,random_batch_18_nov_2020
lucas-clemente/quic-go,ec04ea8756abc2ac97b3e24e36df5cb476971324,"Merge pull request #1519 from lucas-clemente/no-crypto-stream-window-updates

never increase the flow control limit for the crypto stream",FALSE,FALSE,FALSE,TRUE,never,by code,,random_batch_18_nov_2020
ng-vcl/ng-vcl,1f79fdd12cc4ea49a6dd9b8ba7574f49d19b933d,"Fixing - dropdown: scroll to marked item not working
",FALSE,FALSE,FALSE,TRUE,fixing,,,random_batch_18_nov_2020
electron/electron,63d8137da2b9b63260b525fb999e28daa118f6bc,"Use EventEmitter public methods instead of _events.
",TRUE,TRUE,FALSE,FALSE,use instead,,,random_batch_18_nov_2020
lammps/lammps,c53730f2e9dfcedffc6040a7a1125749400341d2,"Added enthalpy to list of thermo attributes

git-svn-id: 53f22b28e73aa627d2a2069eeb1f23c43fecd57f@203 f3b2605a-c512-4ea7-a41b-209d697bcdaa
",FALSE,FALSE,TRUE,FALSE,added,,,random_batch_18_nov_2020
scoophealth/oscar,9ae6bf658a74ebbfd55a0a2de2185dd0cbf4daac,"Increment batchCount in regards to the Provider's billing # instead of
the provider_no.  This fixes the issue of submission files
overwriting one another when created for 2 providers that have the same
Billing #. 


Change-Id: Ia1c2a0ef916d1d04c4b0c8c43fcc55849228c95f
",FALSE,FALSE,FALSE,TRUE,fixes,,,random_batch_18_nov_2020
fobo66/BookcrossingMobile,eaeb1672d62549bc6a710355b375ba807d49341c,"Improved kapt performance
",FALSE,FALSE,TRUE,FALSE,improved performance,,,random_batch_18_nov_2020
julienrf/endpoints,841e1038e3008ba2a54dd428404da52d9f18d94c,"Merge pull request #98 from julienrf/updated-deps-bis

Update dependencies (cats and circe)",FALSE,FALSE,TRUE,FALSE,updated dependencies,,,random_batch_18_nov_2020
google/llvm-propeller,34ee3ff83df2ff60f48ad4f028f8a65ea53aaecd,"Emit all directives except for "".cprestore"" during asm printing rather than emit
them as machine instructions. Directives "".set noat"" and "".set at"" are now
emitted only at the beginning and end of a function except in the case where
they are emitted to enclose .cpload with an immediate operand that doesn't fit
in 16-bit field or unaligned load/stores.

Also, make the following changes:
- Remove function isUnalignedLoadStore and use a switch-case statement to
  determine whether an instruction is an unaligned load or store.

- Define helper function CreateMCInst which generates an instance of an MCInst
  from an opcode and a list of operands.

llvm-svn: 153552
",TRUE,TRUE,FALSE,TRUE,"doesn't fit, remove and use",,,random_batch_18_nov_2020
JetBrains/intellij-community,257b8d29101353f6122dedd528f7171b150d9cbd,"IDEA-117223 Custom background image/colour for each project
",FALSE,FALSE,TRUE,FALSE,,,,random_batch_18_nov_2020
DOAJ/doaj,3987c359344a16e50e4eb02e7808be38e744d405,"Merge branch 'hotfix/2018-10-26_nginx_metrics_hostname' into production
",FALSE,FALSE,FALSE,TRUE,hotfix,,,random_batch_18_nov_2020
keycloak/keycloak,71cfa11d2f4d2b18c802c08bc59644b2a627954d,"cleanup angular2-product example
",TRUE,TRUE,FALSE,FALSE,cleanup,,,random_batch_18_nov_2020
travis-ci/travis-web,ee8dcad7a59a3d62f58fe0b6654e2b46d2b47a08,"Fix build state display (#1179)

The referenced property in the `buildState` computed property was incorrect.",FALSE,FALSE,FALSE,TRUE,fix,,,random_batch_18_nov_2020
ArduPilot/ardupilot,61507ccd20466f5d14dccc663ea6724189c36c4a,"autotest: build docs on each autotest run
",FALSE,FALSE,TRUE,FALSE,build,,,random_batch_18_nov_2020
marklogic/java-client-api,a9c2c25bce0fc435a207167b323411b3d3e7256d,"fix #52, pass transaction id through on read
",FALSE,FALSE,FALSE,TRUE,fix,,,random_batch_18_nov_2020
flutter/flutter,141f87b32754267cc02bae03477c4b109b828324,"ensure that fe server is always built with tool (#29768)

",FALSE,FALSE,TRUE,FALSE,ensure,by code,FALSE,random_batch_18_nov_2020
advancedtelematic/aktualizr,ebd0a5031d09dfb01ed059a31475c80a608ae02b,"Tidy curl event loop
",TRUE,TRUE,FALSE,FALSE,tidy,,,random_batch_18_nov_2020
sfu-fas/coursys,3cafa05b5d5501f83b4d958acbbed3f249d0a7d5,"Allow the Grad Program Director to edit letter templates
",FALSE,FALSE,TRUE,FALSE,allow,,,random_batch_18_nov_2020
dtag-dev-sec/tpotce,6a1f4f9aea75b829e9cd5685827dd3a51290f784,Update update.sh,FALSE,FALSE,TRUE,FALSE,update,,,random_batch_18_nov_2020
OpenRA/OpenRA,27d046589156eb9989930560ba12e3afaca035fa,"Remove workarounds for querying the PlayerActor in Created
",TRUE,TRUE,FALSE,FALSE,remove worksarounds,,,random_batch_18_nov_2020
git-cola/git-cola,c1f5cf5032d560755bd5ccd25cbbac865d0af3b6,"main.view: Remove 'Apply Changes from Branch...'

This feature adds a lot of complexity and it's rarely used
so simplify, simplify, simplify.

Similar functionality can be had by using git-dag's
""Grab File"" feature and teasing apart the changes using
normal index/worktree diff editor so there's less
justification for this feature these days.

Signed-off-by: David Aguilar <9de348c050f7cd1ca590883733c4e531ce610bf4@gmail.com>
",FALSE,FALSE,TRUE,FALSE,remove,,,random_batch_18_nov_2020
blockchain/My-Wallet-V3-iOS,d7179c116c8b74b5275e12d62b5ea8dee70803b5,"build(Fastlane): skip slack notifications on fastlane scan. (#129)

",FALSE,FALSE,TRUE,FALSE,skip,,,random_batch_18_nov_2020
root-mirror/root,4928744f1cf9143658a464cef2d8a58f72aa85c2,"From Axel:
This patch circumvents backward compatibility issues with the constness
of a method vs. constness of its return type, by adding a new
G__BIT_ISMETHCONSTANT. G__BIT_ISCONSTANT will still be set.


git-svn-id: acec3fd5b7ea1eb9e79d6329d318e8118ee2e14f@14573 27541ba8-7e3a-0410-8455-c3a389f83636
",FALSE,FALSE,TRUE,FALSE,adding,,,random_batch_18_nov_2020
openstreetmap/iD,855156ce7d97c795a5813f59e070d39672b440b0,"Historic presets
",FALSE,FALSE,TRUE,FALSE,,by code,,random_batch_18_nov_2020
consulo/consulo,9a683bbc4aa793a9dc13cd1ef45d58ae7eba3df9,"formatter: field groups alignment: correctly process range (IDEA-98368; IDEA-98367)
",FALSE,FALSE,FALSE,TRUE,correctly,,,random_batch_18_nov_2020
facebookexperimental/eden,8ef12c7d6e8acd2190469b0cacc2527b81d2b587,"bash_completion: untabify
",FALSE,TRUE,FALSE,FALSE,untabify,,,random_batch_18_nov_2020
projectcalico/felix,268648a30ee7fdf785ef80a7bc09767e43d8da44,"Have topology wait for any start-of-day Felix restarts.

Ensures that tests don't have to worry about Felix restarting mid-test when
its config arrives.
",FALSE,FALSE,TRUE,FALSE,,,,random_batch_18_nov_2020
ember-cli/ember-cli,3d73f22034a26d6ea32a261cfe4b133b23dda7ce,"Extract FileInfo object
",FALSE,FALSE,TRUE,FALSE,extract,,,random_batch_18_nov_2020
akvo/akvo-flow,ab905e809a0bbc3d01855e8356d0e7cca71da8b5,"[#2231] Remove SurveyalValue index definition
",FALSE,FALSE,TRUE,FALSE,remove,,,random_batch_18_nov_2020
Jason-Rev/vscode-spell-checker,2d518e2134bae6e8d7a6889a0f109e6460121f42,"Performance fix
",FALSE,FALSE,FALSE,TRUE,fix,"though performance, it is a fix",,random_batch_18_nov_2020
mozilla/addons-server,657b997619efd9fa374c2f6d1dcf59e9feaad8aa,"Pontoon: Update Upper Sorbian (hsb) localization of AMO

Localization authors:
- Michael Wolf <milupo@sorbzilla.de>
",FALSE,FALSE,TRUE,FALSE,update,,,random_batch_18_nov_2020
Taeung/tip,f0201738b61b1adcf6b2c4719c5c415745014c1c,"ftrace: Avoid recording mcount on .init sections directly

The init and exit sections should not be traced and adding a call to
mcount to them is a waste of text and instruction cache. Have the
macro section attributes include notrace to ignore these functions
for tracing from the build.

Link: 275a482ef95aabe469de1669ca4bb54f9270e362@goodmis.org
Signed-off-by: Steven Rostedt <43232e92d70cc7aa53504ad0397085ee47bad87f@goodmis.org>
",FALSE,FALSE,FALSE,TRUE,avoid,,FALSE,random_batch_18_nov_2020
tradle/tim,3a72eceb6bdff8bba1a4c648c60d0de9215fe765,"refactor: signature became Photo
",TRUE,TRUE,FALSE,FALSE,refactor,,,random_batch_18_nov_2020
wch/r-source,9103cf71143d0571df624557129f9dc404013a6e,"Use PATH_MAX in getting the working directory.


git-svn-id: f298e5bd0fb7dd56202a0647512068a43d54496a@4768 00db46b3-68df-0310-9c12-caf00c1e9a41
",FALSE,FALSE,TRUE,FALSE,use,,,random_batch_18_nov_2020
tgstation/tgstation,258f2825e87c370585101af5d6a623915a1682ce,windoor->window,FALSE,FALSE,FALSE,TRUE,,"by code, typo in path",,random_batch_18_nov_2020
exteso/alf.io,47d976fc2451813d96b318fad4a46e20e5b0b7fc,"add additional test in the payload
",FALSE,FALSE,TRUE,FALSE,,,,random_batch_18_nov_2020
PhilippC/keepass2android,d2a06617ebf6881da32ce0f63d06b1bfe55e08d0,"Refactoring:
Wiped out the historical partial Java naming conventions, replaced by C#
removed unused fields/parameters
removed many unused usings
...
(Thanks to ReSharper :-))
",TRUE,TRUE,FALSE,FALSE,refactoring,,,random_batch_18_nov_2020
wagtail/wagtail,98a99b0fe7c929cb97b68df1957a2f142f2f28e9,"ongoing layout tweaks
",FALSE,FALSE,TRUE,FALSE,layout tweaks,,,random_batch_18_nov_2020
Bitcoin-com/Wallet,47dcc129102b4ed8e76e2873855e1b9933eebe0a,"Fix Conflicts:
	js/models/core/Wallet.js
",FALSE,FALSE,FALSE,TRUE,fix,,,random_batch_18_nov_2020
ClearcodeHQ/mirakuru,fc7e526f33e0506774583572fc723039097c8aa0,"Merge pull request #313 from mmaslowskicc/issue-310-mypy

Run mypy and add type hints",FALSE,FALSE,TRUE,FALSE,add,,,random_batch_18_nov_2020
google/wuffs,21682f403fb60fc2fcf7e2e90b9ad235e7efa3dc,"Add fuzz/c/std/json_fuzzer.c
",FALSE,FALSE,TRUE,FALSE,add,,,random_batch_18_nov_2020
concourse/concourse,9d325f1efcf68d3ddd217f846be9b87fbf7c45b5,"web: test sidebar team in isolation

Signed-off-by: James Thomson <fbe171f55b1fc279ce7cbad317779b8c388c2486@pivotal.io>
Co-authored-by: Jamie Klassen <d740210502544aa0776b92978c6db85774130b86@pivotal.io>
",FALSE,FALSE,TRUE,FALSE,"by code, not a test code",,,random_batch_18_nov_2020
PO-31/QtReports,1815edf47f76e8a8c1b8421cdec3725f7edde658,Update test.full.qrxml,FALSE,FALSE,TRUE,FALSE,updated,file is content for tests,,random_batch_18_nov_2020
