repo_name,commit,subject,message,Is_Corrective,justification,comment,certain
rs2/pandas,0d3bdf1ceb1ade613ccf376d01912df71ac64625,BUG: Allow ensure_index to coerce nan to NaT with numpy object array and tz Timestamp (#27556),"BUG: Allow ensure_index to coerce nan to NaT with numpy object array and tz Timestamp (#27556)

",1,,,
rs2/pandas,aa3e6119328772db00dd9acb25eb72062cc1e58d,BUG: Preserve Series/DataFrame subclasses through groupby operations (#33884),"BUG: Preserve Series/DataFrame subclasses through groupby operations (#33884)

",1,,,
rs2/pandas,c6a1638bcd99df677a8f76f036c0b30027eb243c,BUG: Series[listlike_of_ints] incorrect on MultiIndex (#33539),"BUG: Series[listlike_of_ints] incorrect on MultiIndex (#33539)

",1,,,
rs2/pandas,678a9ac7c198513367f6f1180c5fd2bf6bc6949b,BUG: Fix StringArray use_inf_as_na bug (#33656),"BUG: Fix StringArray use_inf_as_na bug (#33656)

",1,,,
rs2/pandas,71d610596ed128055614eb660f13c88168bfe22f,BUG: pickle after _with_freq (#33811),"BUG: pickle after _with_freq (#33811)

",1,,,
rs2/pandas,699b56f7f4d55ad8acd11380a564b9b62675442e,"BUG: TimedeltaArray+Period, PeriodArray-TimedeltaArray (#33883)","BUG: TimedeltaArray+Period, PeriodArray-TimedeltaArray (#33883)

",1,,,
rs2/pandas,29c820fad0c200a61c8462ba88afe3b3ab1878b2,BUG: DTI/TDI intersection result names (#33904),"BUG: DTI/TDI intersection result names (#33904)

",1,,,
rs2/pandas,dd71064327721c1ec7366000f357b0c08bcec4d2,"BUG: DataFrame[object] + Series[dt64], test parametrization (#33824)","BUG: DataFrame[object] + Series[dt64], test parametrization (#33824)

",1,,,
rs2/pandas,014d8eabf0b8c3d0921ec2438d72514b34ea676b,"BUG: flex op with DataFrame, Series and ea vs ndarray (#34277)","BUG: flex op with DataFrame, Series and ea vs ndarray (#34277)

",1,,,
rs2/pandas,8f3afd718b2df905383055d21b6680e49a2821f4,BUG: Make nullable booleans numeric (#34056),"BUG: Make nullable booleans numeric (#34056)

",1,,,
rs2/pandas,085752f95adb625a43aef64481be56a393e8732a,BUG: DTA/TDA/PA setitem incorrectly allowing i8 (#33717),"BUG: DTA/TDA/PA setitem incorrectly allowing i8 (#33717)

",1,,,
rs2/pandas,d09f20e29bdfa82f5efc071986e2633001d552f6,Bug in DataFrame.replace casts columns to ``object`` dtype if items in ``to_replace`` not in values (#34048),"Bug in DataFrame.replace casts columns to ``object`` dtype if items in ``to_replace`` not in values (#34048)

",1,,,
rs2/pandas,91150d976ac41bd93a0e6516b2090c534f91aff2,BUG: Fix Categorical use_inf_as_na bug (#33629),"BUG: Fix Categorical use_inf_as_na bug (#33629)

",1,,,
rs2/pandas,2250ddfaff92abaff20a5bcd78315f5d4bd44981,BUG: Fixed __join_multi always returning indexers (#34074) (#34075),"BUG: Fixed __join_multi always returning indexers (#34074) (#34075)

",1,,,
rs2/pandas,d04b965f98fa53f22cc41f7e4d081d763d2856a1,BUG: Add unordered option to pandas.cut (#33141) (#33480),"BUG: Add unordered option to pandas.cut (#33141) (#33480)

",1,,,
rs2/pandas,de8ca78921fa6aa003a047a14ffaa03a5f3b86ac,BUG: fix memory_usage method with deep of StringArray (#33985),"BUG: fix memory_usage method with deep of StringArray (#33985)

",1,,,
rs2/pandas,55e8891f6d33be14e0db73ac06513129503f995c,BUG: Multiindexed series .at fix (#32520),"BUG: Multiindexed series .at fix (#32520)

",1,,,
rs2/pandas,ebb727e5cd8865a7f5d6cfb4b22d3278b6bf5e6b,BUG: CategoricalIndex.__contains__ incorrect NaTs (#33947),"BUG: CategoricalIndex.__contains__ incorrect NaTs (#33947)

",1,,,
rs2/pandas,d3a6a3a58e1a6eb68b8b8399ff252b8f4501950e,BUG : Series.to_timestamp and Series.to_period raise user-facing AssertionError (#34067),"BUG : Series.to_timestamp and Series.to_period raise user-facing AssertionError (#34067)

",1,,,
rs2/pandas,a3477c769b3d2ea4950ae69f8867e3b291b743c1,BUG: List indexer on PeriodIndex doesn't coerce strings (#30515) (#30515),"BUG: List indexer on PeriodIndex doesn't coerce strings (#30515) (#30515)

",1,,,
rs2/pandas,e41ee47a90bb1d8a1fa28fcefcd45ed8ef5cb946,Fixes is_string_dtype (#34294),"Fixes is_string_dtype (#34294)

",1,,,
rs2/pandas,6f5614b2a5cf909e6d9d4047f5e38b29009ce772,BUG: Fix min_count issue for groupby.sum (#32914),"BUG: Fix min_count issue for groupby.sum (#32914)

* Add test

* Check for null

* Release note

* Update and comment

* Update test

* Hack

* Try a different casting

* No pd

* Only for add

* Undo

* Release note

* Fix

* Space

* maybe_cast_result

* float -> Int

* Less if

Co-authored-by: Simon Hawkins <91ca88ec4729b742b76bceffecc7cc640de13f97@gmail.com>",1,,,
rs2/pandas,74e8607cb163b76ccf272ac72ae6b7848fe930c8,BUG: incorrect freq in PeriodIndex-Period (#33801),"BUG: incorrect freq in PeriodIndex-Period (#33801)

",1,,,
rs2/pandas,63651f3ed2c41bc71781be1c9f4274a14361311a,BUG: support corr and cov functions for custom BaseIndexer rolling windows (#33804),"BUG: support corr and cov functions for custom BaseIndexer rolling windows (#33804)

",1,,,
rs2/pandas,7c3f662d1e379583284015fe7ea17df4fe70fdaf,BUG: Fix a bug in 'timedelta_range' that produced an extra point on a edge case (fix #30353) (#33498),"BUG: Fix a bug in 'timedelta_range' that produced an extra point on a edge case (fix #30353) (#33498)

",1,,,
rs2/pandas,b7f061c3d24df943e16918ad3932e767f5639a38,BUG: can't concatenate DataFrame with Series with duplicate keys (#33805),"BUG: can't concatenate DataFrame with Series with duplicate keys (#33805)

",1,,,
rs2/pandas,e71052cc40ebd3a8ce163320c47b8b8f7000b088,BUG: Summing a sparse boolean series raises TypeError (#34220),"BUG: Summing a sparse boolean series raises TypeError (#34220)

",1,,,
rs2/pandas,8cd8ed3657e52ad9f67e17b7f5c20f7340ab6a2c,Bug in Series.groupby would raise ValueError when grouping by PeriodIndex level (#34049),"Bug in Series.groupby would raise ValueError when grouping by PeriodIndex level (#34049)

",1,,,
rs2/pandas,92afd5c2c08216e4e9c80eb6b92b1660f91846e0,BUG: freq not retained on apply_index (#33779),"BUG: freq not retained on apply_index (#33779)

* BUG: freq not retained on apply_index

* whatsnew",1,,,
rs2/pandas,e1ee2b0679e5999c993a787606d30e75faaba7a2,BUG: Fix Series.update ExtensionArray issue (#33984),"BUG: Fix Series.update ExtensionArray issue (#33984)

",1,,,
rs2/pandas,cb71376385c33270fa1922aec9eb6c49de4336f4,BUG: support skew function for custom BaseIndexer rolling windows (#33745),"BUG: support skew function for custom BaseIndexer rolling windows (#33745)

",1,,,
rs2/pandas,2250ddfaff92abaff20a5bcd78315f5d4bd44981,BUG: Fixed __join_multi always returning indexers (#34074) (#34075),"BUG: Fixed __join_multi always returning indexers (#34074) (#34075)

",1,,,
rs2/pandas,8aa707298428801199280b2b994632080591700a,BUG: Don't raise in DataFrame.corr with pd.NA (#33809),"BUG: Don't raise in DataFrame.corr with pd.NA (#33809)

",1,,,
rs2/pandas,e66e5c338a9f458de743a4a1dd2dd3fe65603252,BUG: Use args and kwargs in Rolling.apply (#33983),"BUG: Use args and kwargs in Rolling.apply (#33983)

",1,,,
rs2/pandas,afb04645b5b3361814f7d00ef68ce8d68e19ddb8,BUG: DTI/TDI.insert doing invalid casting (#33703),"BUG: DTI/TDI.insert doing invalid casting (#33703)

",1,,,
rs2/pandas,ffc06f11e083c20795d06507fa2912fc2328ca53,"BUG: recognize M8[ns, tzstr] (#33885)","BUG: recognize M8[ns, tzstr] (#33885)

",1,,,
rs2/pandas,b623a9df3cf3d69fbdddab0f02a03ad69281c8b0,BUG: boxplot does not work when data has datetime column (#27846),"BUG: boxplot does not work when data has datetime column (#27846)

",1,,,
rs2/pandas,628dfba239865adc09c94108b288bcb60c619950,BUG: Fix incorrect _is_scalar_access check in iloc (#32085),"BUG: Fix incorrect _is_scalar_access check in iloc (#32085)

",1,,,
rs2/pandas,e639af2afd18b90ab9063df9c1927ae1f357a418,BUG: Appending empty list to DataFrame #28769 (#28834),"BUG: Appending empty list to DataFrame #28769 (#28834)

",1,,,
rs2/pandas,4056dedc79fbd6e0640e2c76cece1a2fe314675e,"BUG: Avoid try/except in blocks, fix setitem bug in datetimelike EA (#27704)","BUG: Avoid try/except in blocks, fix setitem bug in datetimelike EA (#27704)

",1,,,
rs2/pandas,341a7190ce91bbd6a630024f6629c9de09d4a2cf,BUG: Too aggressive typing in NDFrame.align (#31788),"BUG: Too aggressive typing in NDFrame.align (#31788)

",1,,,
rs2/pandas,9b1c005142fed227081dd454eab1a414168d458e,BUG: fix+test DTA/TDA/PA add/sub Index (#27726),"BUG: fix+test DTA/TDA/PA add/sub Index (#27726)

",1,,,
rs2/pandas,0ed6d538c38010bcbd540cd6413ae8e4b749d9e6,BUG: pivot_table losing tz (#32558),"BUG: pivot_table losing tz (#32558)

",1,,,
rs2/pandas,be6a3bc46382074b5e233ac8d78b7a96a0c24bf5,BUG: groupby apply raises ValueError when groupby axis has duplicates and applied identity function (#30679),"BUG: groupby apply raises ValueError when groupby axis has duplicates and applied identity function (#30679)

",1,,,
rs2/pandas,64336ff8414f8977ff94adb9a5bc000a3a4ef454,BUG: fix reindexing with a tz-aware index and method='nearest' (#31511),"BUG: fix reindexing with a tz-aware index and method='nearest' (#31511)

",1,,,
rs2/pandas,765d8db7eef1befef33f4c99d3e206d26e8444c8,"BUG: pass 2D ndarray and EA-dtype to DataFrame, closes #12513 (#30507)","BUG: pass 2D ndarray and EA-dtype to DataFrame, closes #12513 (#30507)

",1,,,
rs2/pandas,cb9a1c7d0319c34a97247973ca96af53ead8033a,BUG: TimedeltaIndex.searchsorted accepting invalid types/dtypes (#30831),"BUG: TimedeltaIndex.searchsorted accepting invalid types/dtypes (#30831)

",1,,,
rs2/pandas,f41219179de69fed5c2a4b7df821394af1aa6559,BUG/TST: ensure groupby.agg preserves extension dtype (#29144),"BUG/TST: ensure groupby.agg preserves extension dtype (#29144)

",1,,,
rs2/pandas,447d2c5d4c5b8bdadc1e201babf02eaa6a3d09ba,BUG: fix+test PA+all-NaT TDA (#27739),"BUG: fix+test PA+all-NaT TDA (#27739)

",1,,,
rs2/pandas,65b23c2213aaef2f303fa4410d9a48e6f2c83b15,BUG: partial-timestamp slicing near the end of year/quarter/month (#31064),"BUG: partial-timestamp slicing near the end of year/quarter/month (#31064)

",1,,,
rs2/pandas,f14663292831c531eeb76115d6fa4cf124bcb2f2,BUG: Fix pd.NA `na_rep` truncated in to_csv (#30146),"BUG: Fix pd.NA `na_rep` truncated in to_csv (#30146)

",1,,,
rs2/pandas,ef7e7208d3e396ac574b8b027ca42f89ac99e449,BUG: GroupBy aggregation of DataFrame with MultiIndex columns breaks with custom function (#32040),"BUG: GroupBy aggregation of DataFrame with MultiIndex columns breaks with custom function (#32040)

",1,,,
rs2/pandas,2f9a44635bd8d468cf008f2855ce2dcfb9e90586,BUG: read_csv used in file like object RawIOBase is not recognize encoding option (#31596),"BUG: read_csv used in file like object RawIOBase is not recognize encoding option (#31596)

",1,,,
rs2/pandas,53a0dfd41a65a33dd7b0963734b24c749212e625,BUG: Fix infer_dtype_from_scalar to infer IntervalDtype (#30339),"BUG: Fix infer_dtype_from_scalar to infer IntervalDtype (#30339)

",1,,,
rs2/pandas,d44fb07063e9a8bd8a209ddce35b40d8a56c8d02,BUG: Concatenation warning still appears with sort=False (#27702),"BUG: Concatenation warning still appears with sort=False (#27702)

",1,,,
rs2/pandas,f792d8c50ee456aa8aa2ae406d8e6b8843f45614,BUG: correct wrong error message in df.pivot when columns=None (#30925),"BUG: correct wrong error message in df.pivot when columns=None (#30925)

",1,,,
rs2/pandas,23abcd909672281cf54ad89d2f1f3be3d3605180,[BUG] add consistency to_numeric on empty list (#32512),"[BUG] add consistency to_numeric on empty list (#32512)

",1,,,
rs2/pandas,9e33bf7b1308baa1d8977f2dd501140c9cd09294,BUG: compound dtype ndarray passed to Series (#30494),"BUG: compound dtype ndarray passed to Series (#30494)

",1,,,
rs2/pandas,c5a1f9e2c373ced9ef2f02ab64d11eaa7b4248f2,BUG: Series groupby does not include nan counts for all categorical labels (#17605) (#29690),"BUG: Series groupby does not include nan counts for all categorical labels (#17605) (#29690)

",1,,,
rs2/pandas,54a6490ed050a693f04c740af2dddbd2fd19c4e1,BUG/REF: multiindex nested tuples with duplicates (#31358),"BUG/REF: multiindex nested tuples with duplicates (#31358)

",1,,,
rs2/pandas,3ffcc74f5464317156eda94fb89967c6fed51bb0,BUG-26214 fix colors parameter in DataFrame.boxplot (#26456),"BUG-26214 fix colors parameter in DataFrame.boxplot (#26456)

",1,,,
rs2/pandas,cd5250211b3c79ec41da0f2a1ce0f4bfa3d1f3e6,BUG: Raise a TypeError when record_path doesn't point to an array (#33585),"BUG: Raise a TypeError when record_path doesn't point to an array (#33585)

",1,,,
rs2/pandas,339edcdb7ecc6edc6fde1b7d1413dbb746d2bcca,BUG: IntegerArray.astype(boolean) (#31187),"BUG: IntegerArray.astype(boolean) (#31187)

",1,,,
rs2/pandas,9a211aae9f710db23c9113aea0251e2758904755,BUG: inconsistency between PeriodIndex.get_value vs get_loc (#31172),"BUG: inconsistency between PeriodIndex.get_value vs get_loc (#31172)

",1,,,
rs2/pandas,facd756fb0e6a2d9a8ac934ae4295c40a0c30102,BUG: Remove error raise to allow same input function on the same column in named aggregation (#28428),"BUG: Remove error raise to allow same input function on the same column in named aggregation (#28428)

",1,,,
rs2/pandas,8efc717e4652e1e4bfbc4455da1d40eb676eed91,BUG: value_counts can handle the case even with empty groups (#28479) (#28634),"BUG: value_counts can handle the case even with empty groups (#28479) (#28634)

",1,,,
rs2/pandas,83f84ed5b7230cf9015a7bde5cc95d91b9282bb3,BUG: Fix qcut for nullable integers (#31440),"BUG: Fix qcut for nullable integers (#31440)

",1,,,
rs2/pandas,4729766172e1d9f1272c720816e8b6e1759ca2f6,BUG: wrong exception raised by Week+Day (#28530),"BUG: wrong exception raised by Week+Day (#28530)

* BUG: Week+Day raising wrong exception

* whatsnew
",1,,,
rs2/pandas,6f93898d32c0f1fdb382d1e9dee434c158998374,"BUG: DataFrame.floordiv(ser, axis=0) not matching column-wise bheavior (#31271)","BUG: DataFrame.floordiv(ser, axis=0) not matching column-wise bheavior (#31271)

",1,,,
rs2/pandas,6f690b088190581552e04c53288819472fdb2dbe,BUG: TimedeltaIndex.union with sort=False (#30701),"BUG: TimedeltaIndex.union with sort=False (#30701)

",1,,,
rs2/pandas,1a57596243f1644848b344ff028847b107ee64d8,[BUG] Sum of grouped bool has inconsistent dtype (#32894),"[BUG] Sum of grouped bool has inconsistent dtype (#32894)

",1,,,
rs2/pandas,73d614403759831814ef7ab83ef1e4aaa645b33a,BUG: Fix behavior of isocalendar with timezones (#33551),"BUG: Fix behavior of isocalendar with timezones (#33551)

",1,,,
rs2/pandas,640d9e1f5fe8ab64d1f6496b8216c28185e53225,BUG: pd.crosstab not working when margin and normalize are set together (#27663),"BUG: pd.crosstab not working when margin and normalize are set together (#27663)

",1,,,
rs2/pandas,ef9b9387c88cf12b20dd8656dfedfc236e0f3352,BUG: Fix bug when concatenating Index of strings (#33436),"BUG: Fix bug when concatenating Index of strings (#33436)

",1,,,
rs2/pandas,d28db65bdba16e9400a16469ba2707f94ae63483,BUG: Fixed IntervalArray[int].shift (#31502),"BUG: Fixed IntervalArray[int].shift (#31502)

",1,,,
rs2/pandas,839e7f1416148caff518a5b75327a2480a2bbbb4,BUG: passing TDA and wrong freq to TimedeltaIndex (#31268),"BUG: passing TDA and wrong freq to TimedeltaIndex (#31268)

",1,,,
rs2/pandas,8f6118c6a1547ffd39d9b89df1b8e52128b63aa0,BUG: Fixed groupby quantile for listlike q (#27827),"BUG: Fixed groupby quantile for listlike q (#27827)

* BUG: Fixed groupby quantile for listlike q

Closes #27526",1,,,
rs2/pandas,3253cb0aa511abbda1cc08faa5e857c3bfc04c88,BUG: listlike comparisons for DTA and TDA (#30705),"BUG: listlike comparisons for DTA and TDA (#30705)

",1,,,
rs2/pandas,a43ac017bcc774cb8b57c0ce14b9b071b9eb9dad,BUG: Fix DataFrame logical ops Series inconsistency (#28741),"BUG: Fix DataFrame logical ops Series inconsistency (#28741)

",1,,,
rs2/pandas,fa4949f27ccfbc255bb8dbcd5ec5464b8663f1d2,[bug] don't remove timezone-awareness when using the  method from Dat… (#30277),"[bug] don't remove timezone-awareness when using the  method from Dat… (#30277)

",1,,,
rs2/pandas,e1ca66bae38b8026079dfcbe0edad5f278546608,API/BUG: make .at raise same exceptions as .loc (#31724),"API/BUG: make .at raise same exceptions as .loc (#31724)

",1,,,
rs2/pandas,8a5f2917e163e09e08af880819fdf44144b1a5fe,BUG: 27453 right merge order (#31278),"BUG: 27453 right merge order (#31278)

",1,,,
rs2/pandas,0fd888c8b318d4041b0ae53c64715eca0d345dd3,"BUG: raise when wrong level name is passed to ""unstack"" (#27631)","BUG: raise when wrong level name is passed to ""unstack"" (#27631)

closes #18303",1,,,
rs2/pandas,0ffdbe36f0df732f2700cda4a84be758084ff901,BUG: Keep categorical name in groupby (#28798),"BUG: Keep categorical name in groupby (#28798)

* BUG: Keep categorical name in groupby",1,,,
rs2/pandas,5d0faa8ca5228c7e139c943996b219609a1bfb74,BUG: Series.__getitem__ with MultiIndex and leading integer level (#33404),"BUG: Series.__getitem__ with MultiIndex and leading integer level (#33404)

",1,,,
rs2/pandas,3da053c7d1b1786689a81b143a7afb57eb4762ad,BUG: fix length_of_indexer with boolean mask (#31897),"BUG: fix length_of_indexer with boolean mask (#31897)

",1,,,
