repo_name,commit,message,Is_Security,Is_Fix,Is_Security_Fix,Justification,Certain,Comment,Sampling
Juniper/contrail-controller,2f65d3921873661297eae93aec33f498e161abae,"loading of vnc_cfg_api.resourceApi module fails
closes-jira-bug: CEM-7879

There were three problems
vnc_cfg_api_server/vnc_cfg_api_server.py:
1. _load_extensions was checking for self._args.auth != 'no-auth
   while possible values of self._args.auth are keystone and noauth
   Ref: https://github.com/Juniper/contrail-ansible-deployer/blob/master/contrail_configuration.md
   This anomaly was introduced by below commit
   https://github.com/Juniper/contrail-controller/commit/727c1db6724a20bf8f69adfc61d99a6fdf92570d
vnc_openstack/__init__.py:
2. ResourceApiDriver class executes fill_keystone_opts by default
   so in case of ""noauth"", there wont be keystone section which leads to
   keyerror in fill_keystone_opts
3. _get_api_connection always looks for auth_user and auth_passwd which
   wont exist in case of ""noauth""

Change-Id: I67485ed580ffd86b009543b23a4b743cbfbf1beb
",TRUE,TRUE,TRUE,"fail, auth",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
googleapis/elixir-google-api,22b9501b60d95e0d4b580b8c1ca997702b616cf6,"Regenerate CloudKMS client (#7161)

This PR was generated using Autosynth. :rainbow:


<details><summary>Log from Synthtool</summary>

```
2021-01-16 05:33:46,211 synthtool [DEBUG] > Executing /home/kbuilder/.cache/synthtool/elixir-google-api/synth.py.
On branch autosynth-cloudkms
nothing to commit, working tree clean
2021-01-16 05:33:48,024 synthtool [DEBUG] > Running: docker run --rm -v/tmpfs/tmp/tmp_chc2eg1/repo:/workspace -v/var/run/docker.sock:/var/run/docker.sock -e USER_GROUP=1000:1000 -w /workspace gcr.io/cloud-devrel-public-resources/elixir19 scripts/generate_client.sh CloudKMS
DEBUG:synthtool:Running: docker run --rm -v/tmpfs/tmp/tmp_chc2eg1/repo:/workspace -v/var/run/docker.sock:/var/run/docker.sock -e USER_GROUP=1000:1000 -w /workspace gcr.io/cloud-devrel-public-resources/elixir19 scripts/generate_client.sh CloudKMS
/workspace /workspace
[33mThe mix.lock file was generated with a newer version of Hex. Update your client by running `mix local.hex` to avoid losing data.[0m
Resolving Hex dependencies...
Dependency resolution completed:
Unchanged:
  certifi 2.5.1
  google_api_discovery 0.7.0
  google_gax 0.3.2
  hackney 1.15.2
  idna 6.0.0
  jason 1.2.1
  metrics 1.0.1
  mime 1.3.1
  mimerl 1.2.0
  oauth2 0.9.4
  parse_trans 3.3.0
  poison 3.1.0
  ssl_verify_fun 1.1.5
  temp 0.4.7
  tesla 1.3.3
  unicode_util_compat 0.4.1
* Getting google_api_discovery (Hex package)
* Getting tesla (Hex package)
* Getting oauth2 (Hex package)
* Getting temp (Hex package)
* Getting jason (Hex package)
* Getting poison (Hex package)
* Getting hackney (Hex package)
* Getting certifi (Hex package)
* Getting idna (Hex package)
* Getting metrics (Hex package)
* Getting mimerl (Hex package)
* Getting ssl_verify_fun (Hex package)
* Getting unicode_util_compat (Hex package)
* Getting parse_trans (Hex package)
* Getting mime (Hex package)
* Getting google_gax (Hex package)
[33mThe mix.lock file was generated with a newer version of Hex. Update your client by running `mix local.hex` to avoid losing data.[0m
==> temp
Compiling 3 files (.ex)
Generated temp app
===> Compiling parse_trans
===> Compiling mimerl
===> Compiling metrics
===> Compiling unicode_util_compat
===> Compiling idna
==> jason
Compiling 8 files (.ex)
Generated jason app
warning: String.strip/1 is deprecated. Use String.trim/1 instead
  /workspace/deps/poison/mix.exs:4

==> poison
Compiling 4 files (.ex)
warning: Integer.to_char_list/2 is deprecated. Use Integer.to_charlist/2 instead
  lib/poison/encoder.ex:173

Generated poison app
==> ssl_verify_fun
Compiling 7 files (.erl)
Generated ssl_verify_fun app
===> Compiling certifi
===> Compiling hackney
==> oauth2
Compiling 13 files (.ex)
Generated oauth2 app
==> mime
Compiling 2 files (.ex)
Generated mime app
==> tesla
Compiling 26 files (.ex)
Generated tesla app
==> google_gax
Compiling 5 files (.ex)
Generated google_gax app
==> google_api_discovery
Compiling 21 files (.ex)
Generated google_api_discovery app
==> google_apis
Compiling 28 files (.ex)
Generated google_apis app

13:34:20.172 [info]  FETCHING: https://cloudkms.googleapis.com/$discovery/GOOGLE_REST_SIMPLE_URI?version=v1

13:34:20.317 [info]  FOUND: https://cloudkms.googleapis.com/$discovery/GOOGLE_REST_SIMPLE_URI?version=v1
Revision check: old=20201201, new=20210106, generating=true
Creating leading directories
Writing AsymmetricDecryptRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/asymmetric_decrypt_request.ex.
Writing AsymmetricDecryptResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/asymmetric_decrypt_response.ex.
Writing AsymmetricSignRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/asymmetric_sign_request.ex.
Writing AsymmetricSignResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/asymmetric_sign_response.ex.
Writing AuditConfig to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/audit_config.ex.
Writing AuditLogConfig to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/audit_log_config.ex.
Writing Binding to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/binding.ex.
Writing CertificateChains to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/certificate_chains.ex.
Writing CryptoKey to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/crypto_key.ex.
Writing CryptoKeyVersion to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/crypto_key_version.ex.
Writing CryptoKeyVersionTemplate to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/crypto_key_version_template.ex.
Writing DecryptRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/decrypt_request.ex.
Writing DecryptResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/decrypt_response.ex.
Writing DestroyCryptoKeyVersionRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/destroy_crypto_key_version_request.ex.
Writing Digest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/digest.ex.
Writing EncryptRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/encrypt_request.ex.
Writing EncryptResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/encrypt_response.ex.
Writing Expr to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/expr.ex.
Writing ExternalProtectionLevelOptions to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/external_protection_level_options.ex.
Writing ImportCryptoKeyVersionRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/import_crypto_key_version_request.ex.
Writing ImportJob to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/import_job.ex.
Writing KeyOperationAttestation to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/key_operation_attestation.ex.
Writing KeyRing to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/key_ring.ex.
Writing ListCryptoKeyVersionsResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/list_crypto_key_versions_response.ex.
Writing ListCryptoKeysResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/list_crypto_keys_response.ex.
Writing ListImportJobsResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/list_import_jobs_response.ex.
Writing ListKeyRingsResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/list_key_rings_response.ex.
Writing ListLocationsResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/list_locations_response.ex.
Writing Location to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/location.ex.
Writing LocationMetadata to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/location_metadata.ex.
Writing Policy to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/policy.ex.
Writing PublicKey to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/public_key.ex.
Writing RestoreCryptoKeyVersionRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/restore_crypto_key_version_request.ex.
Writing SetIamPolicyRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/set_iam_policy_request.ex.
Writing TestIamPermissionsRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/test_iam_permissions_request.ex.
Writing TestIamPermissionsResponse to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/test_iam_permissions_response.ex.
Writing UpdateCryptoKeyPrimaryVersionRequest to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/update_crypto_key_primary_version_request.ex.
Writing WrappingPublicKey to clients/cloud_kms/lib/google_api/cloud_kms/v1/model/wrapping_public_key.ex.
Writing Projects to clients/cloud_kms/lib/google_api/cloud_kms/v1/api/projects.ex.
Writing connection.ex.
Writing metadata.ex.
Writing mix.exs
Writing README.md
Writing LICENSE
Writing .gitignore
Writing config/config.exs
Writing test/test_helper.exs
[33mThe mix.lock file was generated with a newer version of Hex. Update your client by running `mix local.hex` to avoid losing data.[0m

13:34:22.065 [info]  Bumping minor
fixing file permissions
2021-01-16 05:34:25,093 synthtool [DEBUG] > Wrote metadata to clients/cloud_kms/synth.metadata.
DEBUG:synthtool:Wrote metadata to clients/cloud_kms/synth.metadata.

```
</details>

Full log will be available here:
https://source.cloud.google.com/results/invocations/f786d6b5-1178-4bd5-b715-8d5c3676e983/targets

- [ ] To automatically regenerate this PR, check this box.",FALSE,FALSE,FALSE,,FALSE,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
os2kitos/kitos,8c6c2ab119e87ecd09a6918c25a49be4600b41b5,"Use msdeploy directly to prevent echo of secrets to log
",TRUE,TRUE,TRUE,"prevent, secrets",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
chef/chef,574a3611bb508a207d06aba1bb9040a4e14837ed,"Merge pull request #7133 from chef/fix_pw_rhsm

Fix RHSM registration using passwords",TRUE,TRUE,TRUE,"fix, passwords",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
spring-projects/spring-boot,2543ef7072d14456af073bacfaafcf43fd4a147e,"Change @Conditional for existing security configuration

Fixed by using `WebSecurityConfiguration` to detect existing
security configuration (not the annotation).

Fixes gh-151
",TRUE,TRUE,TRUE,"fix, security",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
mssun/passforios,56edfcfb9c59375b2d9148fa48cb91326f499c60,"Fix a bug about adding new password with empty name / without PGP key
",TRUE,TRUE,TRUE,"fix, password",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
chromium/chromium,c701583caeb99e929f072fa3f3c5773a6b05e805,"        Reviewed by Ken.

	- fixed 3472330 -  REGRESSION: onKeyPress handler not called when hitting keys in <input type=password> field

        * kwq/KWQTextField.mm:
        (-[KWQSecureTextField initWithQLineEdit:]): New initializer, so
	the secure text field knows about the widget.
        (-[KWQTextField setPasswordMode:]): Use new initializer for
	KWQSecureTextField.
        (-[KWQSecureTextField textView:shouldHandleEvent:]): New method,
	do the same thing as the non-secure text field to pass the event on.
        (-[KWQSecureTextField textView:didHandleEvent:]): Ditto.


git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@5458 bbb929c8-8fbe-4397-9dbb-9b2b20218538",TRUE,TRUE,TRUE,"fixed, secure",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
Ultimaker/Cura,8a227c02695aaa9f74067aa18f35b645799c2de9,"Revert permissions
",TRUE,TRUE,TRUE,revert premissions,,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
EasyEngine/easyengine,21682da417e41a8d53f7476866c470ceff9b9bba,"site password update fix for blank entry
",TRUE,TRUE,TRUE,"fix, password",,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
3drepo/3drepo.io,7bf5dac9aebbb528a63c495f86e81a121d7e945d,"Fix permissions for feds
",TRUE,TRUE,TRUE,fix premissions,,,24_mar_2021_pos_fix_2be15899b72484a3927b01a57b476cf6e8b76188
