repo_name,commit,message,Is_performance,Is_Fix,Is_performance_Fix,Justification,Certain,Comment,Sampling
CTSRD-CHERI/u-boot,b2e01ff5434d6f96f128075d534ebf4d39a10de3,"board: laird: add WB50N CPU module

This board is based on the Atmel sama5d3 eval boards.
Supporting the following features:
 - Boot from NAND Flash
 - Ethernet
 - FIT
 - SPL

Signed-off-by: Ben Whitten <b19318fa2bcc545c84e430f1b3b19e276bd92233@lairdtech.com>
Signed-off-by: Dan Kephart <f56123e41efe14acd04589bf5049d5336c86f387@lairdtech.com>
",FALSE,,,cpu,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
HicServices/RDMP,168df3ddb4d148933d319a220fe3ba2834a88db5,"Support for MySql cohort databases. Rewrote BasicCohortDestination to do guid allocation at runtime rather than via database defaults and push cohort in dispose (allows for multiple toProcess batches)
",FALSE,,,runtime,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
kubernetes/apimachinery,7a271817091226402b75fcfcda83bf2088ae0da3,"Fixed percentage behavior in instr

fixed syntax, wrote a test

fixed a test

.

1

Update staging/src/k8s.io/apimachinery/pkg/util/intstr/intstr_test.go

Co-Authored-By: Joel Speed <Joel.speed@hotmail.co.uk>

added test

.

fix

fix test

fixed a test

gofmt

lint

fix

function name

validation fix

.

godocs added

.

Kubernetes-commit: 316eff8dee1bb7a5929a28bc07bace910bb0e126
",FALSE,,,Joel Speed,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
ojrosten/sequoia,d35e03361f41c6ac3a74c16bcaefea667e928882,"Improvements to performance testing
",FALSE,,,performance testing,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
tprrt/linux-stable,e240ab1cfbf8e341c38847fe9aee8579a01ed303,"ARM: EXYNOS4: Support early wakeup entering sleep mode

Since early wakeup can be handled in pm so we don't need masking
interrupts of external GIC. When the early wakeup interrupt happens,
PMU(Power Management Unit) ignores WFI instruction. This means that
PC(Program Counter) passed without any changes. This patch can handle
that case by early wakeup interrupt.

Signed-off-by: Jaecheol Lee <6ec43deacef8beeed37dec16d72a9fb9c16a0752@samsung.com>
[3fc711f4e08bc570a586748633ff7c76d0e1e253@samsung.com: fixed return of exynos4_cpu_suspend()]
Signed-off-by: Kukjin Kim <3fc711f4e08bc570a586748633ff7c76d0e1e253@samsung.com>
",FALSE,,,,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
lucko/LuckPerms,d3e60487bb07cf14ede45b19eb4a96178e3e9370,"Download dependencies at runtime instead of shading them in the jar
",FALSE,,,runtime,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
libvirt/libvirt,b4ad955d9eef49acf3e51f38b001358222e37195,"test: Implement BlockStats and InterfaceStats

We fake stats values based on the current time, similar to how it's done
for cpu time.
",FALSE,,,cpu time,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
catapult-project/catapult,1f0f96d71ddbfcc6a995ba220858e42545f40016,"[vinn] Change read() to readbuffer() in d8_bootstrap's file exist polyfill

This improve the runtime of vinn in general since readbuffer is faster than read.

TBR=nduca@chromium.org

Review URL: https://codereview.chromium.org/1751993002
",TRUE,,,improve runtime,,,25_mar_2021_pos_e524cdc5442d82628ce945d5a08befab9a52117b
Origen-SDK/origen,0f98a5ecdcb99813342a0c3cffbe55bdf21b279b,"Changed PowerDomain.voltage_range to nominal_voltage_range because it really refers to the range a unit could be fused to a specific value based on power/performance.  The PowerDomain class still needs to integrate spec limits that would handle the full range
",TRUE,,,performance,FALSE,power performance,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
gem/oq-engine,c33bf87ad850080acd38373e244b6675e19d4481,"Merge pull request #5020 from gem/refact

Solved the slow task issue for ebrisk

Former-commit-id: f60acd07f247c404d68d244aeaff75b7cab45f83 [formerly f8fc3c05d70363b4bb648c00f509c506e6d0ba27]
Former-commit-id: cd7a1936be8c2287cf55f63e777f6fa0939b8a38",TRUE,,,slow task,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
pixijs/pixi.js,7e4c53638c5b43e8c3c3fe4275c4874d0e595255,"Improve the accuracy of RETINA_PREFIX (#3759)

* Improve the accuracy of RETINA_PREFIX

Sometimes ，this PR could fix https://github.com/pixijs/pixi.js/issues/3755 .
Maybe this PR is better than https://github.com/pixijs/pixi.js/pull/3756.

* Update settings.js
",FALSE,,,improve..someTIMES,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
h2oai/h2o-3,cee9d60eda61e5e3e1e76f876bfeb930fe086c32,"PUBDEV-7796: Model explainability interface for H2O models and AutoML objects in R/Python (#4932)

* Add MLI - initial python version

* Add MLI - initial R version

* Fix python's ice plot title

* Fix some bugs and add markers to python's partial dependences

* Update explanation description; add vertical line to ice plot in R indicating the value of the instance

* Add basic tests

* Fix shap_explain_row contribution_type selection

* Add histogram to PDP/ICE plots in R and improve description.

* Add register-s3.R containing a function from vctrs to register s3 method in suggested package

This function is from [1] and on line 9 is clearly specified it is
allowed to be copy & pasted so we don't have to depend on it.

[1] https://github.com/r-lib/vctrs/blob/9e5c732f5d34ce4b19b1982c8cb38f4cb5fe2b0e/R/register-s3.R

* Incorporate Erin's suggestions for R part

* Incorporate Erin's suggestions for Python part

* Add more R tests, rename tests to not include the word 'MLI'

* Change mli to explain in h2o.__init__.py

* Remove best_of_family from R's h2o.explain to behave the same way as Python's explain function

In Python h2o.explain checks if it is invoked on H2OAutoML if so it will
set best_of_family to True; when it is invoked on a list of models it
assumes that the user wants to see explanations for every single model

* Fix leaderboard for model list in R

* Fix missing tkinter error for python 2.7 smoke test

* Python: Make sure h2o is importable even without matplotlib and close figure objects in tests

* Formatting in python

* Change __repr__ to __str__ in Header and Description classes

* Change python's test_frame to frame

* Python: change columns_of_interest and top_n_features to features

* R: change test_frame to newdata

* R: change columns_of_interest to features with same semantics as python

* Change 'features' to 'columns'

* Add --info to build-h2o-3 to find out more info about failing the build R packages when building the jenkins image

* Remove --info from build-h2o-3

* Don't do ICE for classification problems

* R: when doing explanation in interactive() session ask for return after the plot is shown to continue

* R: don't use warning about SE not having varimp

* R: Center the plot titles

* R: change explanation classs to H2OExplanation

* R: optimize creating leaderboard for row with predictions

* R: change explanation inner structure

* Python: change internal structure of H2OExplanation and fix rendering for jupyter

* R: remove 'Error' from interactive interrupt message

* Fixing h2o.shap_explain_row & update all explain.R function descriptions

* Change the docstrings in python and API changes for shap_explain_row's contribution type both R and python

* Rename 'shap_explanation' to 'shap_explain_row' to match the function number

* Change top_n_features to columns

* Ignore top_n parameter when provided with list of models

* Ignore top_n parameter when provided with list of models when displaying a list of interpretable models

* Add top_n_features argument and enable columns to accept column indices

* Refactoring algorithm/family related code

* R: Memoize model/get models on demand

* Fix test

* Change list() and character() to NULL and fix python shap plots

* Shorten model ids

* R: Rename utility functions

* Python: Rename utility functions

* Change variable_importance to varimp

* Python: Fix labels, add vertical space between plots in jupyter + R remove superfluous brace

* R: Check if object, newdata, row_index are specified.

* R: Fix model fetching in ICE for already fetched model

* R: change margin for varimp heatmap when using short model ids

* Add whole prediction to leaderboard for row

* Change cluster to cluster_models

* Add newline to ggplot titles

* Fix partial dependencES to IES

* Fix doc string in R for .create_leaderboard

* PUBDEV-7796: Updates to R docstrings in explain.R

* PUDDEV-7796: Updating docstrings in explain.R

Co-authored-by: ledell <2a4b17b11682b229726079a631360cf016a43450@h2o.ai>",TRUE,,,optimize,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
facebook/mysql-5.6,633d118d01eedea0d15969cd4b049525ea680f53,"Fix for BUG#12882 - min/max inconsistent on empty table.

The problem was in that the MIN/MAX optimization in opt_sum_query was
replacing MIN/MAX functions with their constant argument without
taking into account that a query has no result rows.
",,,,,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
KDE/kwin,b8e9f83e811c314a543dbd72cf6ba8c62b624e3c,"Use a different iconify/restore style to the default, because the
default is too slow and flickery.

svn path=/trunk/kdebase/kwin/; revision=67690
",TRUE,,,slow,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
skirpichev/omg,d00c8b214520604fb65bde426cbaf4f4b30dbba0,"Use new parse_expr() in sympify() (#871, #976)

This makes sympify() independent of parsing tools in Python's
standard library and makes it much simpler. parse_expr() uses
modified tokenize module to split an input string into tokens,
then it applies SymPy-specific transformations, untokenizes
transformed token sequence and passes resulting string directly
to eval(). All transformations from old sympify() are supported,
but lambda -> Lambda conversion. It is possible to implement
this in the new parse_expr(), but it would make it a little more
complex, so for now I skipped it, as this kind of transformation
isn't used very often anyway (lambda tests were XFAILed).

This also fixes issue #976 and allows sympify() to handle very
large expressions, e.g.:

In [1]: e = expand((x + y + z)**50)

In [2]: s = str(e)

In [3]: %time sympify(s) == e
CPU times: user 27.13 s, sys: 0.09 s, total: 27.22 s
Wall time: 27.22 s
Out[4]: True

Previously it raised RuntimeError. Speed could be improved, by
improving tokenize module.

Old parsers (ast and ast2.4) are still available and we could
use them in future to make a more advanced version of sympify()
that doesn't care about speed and platform compatibility, but
about generality of transformations, thus we could restore
lambda support this way (e.g. sympify(""..."", parser=""ast"")).
",TRUE,,,Speed could be improved,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
DataSketches/sketches-core,2e5b6cfd6b1976cffb005357c97c3539774cbf7e,"Merge pull request #2 from DataSketches/UnionOptimization

Union optimization",TRUE,,,optimization,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
tprrt/linux-stable,835bb1298311f372a3387fb40b952b18d90aa9f8,"e1000: add dynamic itr modes

Add a new dynamic itr algorithm, with 2 modes, and make it the default
operation mode. This greatly reduces latency and increases small packet
performance, at the ""cost"" of some CPU utilization. Bulk traffic
throughput is unaffected.

The driver can limit the amount of interrupts per second that the
adapter will generate for incoming packets. It does this by writing a
value to the adapter that is based on the maximum amount of interrupts
that the adapter will generate per second.

Setting InterruptThrottleRate to a value greater or equal to 100 will
program the adapter to send out a maximum of that many interrupts per
second, even if more packets have come in. This reduces interrupt
load on the system and can lower CPU utilization under heavy load,
but will increase latency as packets are not processed as quickly.

The default behaviour of the driver previously assumed a static
InterruptThrottleRate value of 8000, providing a good fallback value
for all traffic types,but lacking in small packet performance and
latency. The hardware can handle many more small packets per second
however, and for this reason an adaptive interrupt moderation algorithm
was implemented.

Since 7.3.x, the driver has two adaptive modes (setting 1 or 3) in
which it dynamically adjusts the InterruptThrottleRate value based on
the traffic that it receives. After determining the type of incoming
traffic in the last timeframe, it will adjust the InterruptThrottleRate
to an appropriate value for that traffic.

The algorithm classifies the incoming traffic every interval into
classes.  Once the class is determined, the InterruptThrottleRate
value is adjusted to suit that traffic type the best. There are
three classes defined: ""Bulk traffic"", for large amounts of packets
of normal size; ""Low latency"", for small amounts of traffic and/or
a significant percentage of small packets; and ""Lowest latency"",
for almost completely small packets or minimal traffic.

In dynamic conservative mode, the InterruptThrottleRate value is
set to 4000 for traffic that falls in class ""Bulk traffic"". If
traffic falls in the ""Low latency"" or ""Lowest latency"" class, the
InterruptThrottleRate is increased stepwise to 20000. This default
mode is suitable for most applications.

For situations where low latency is vital such as cluster or
grid computing, the algorithm can reduce latency even more when
InterruptThrottleRate is set to mode 1. In this mode, which operates
the same as mode 3, the InterruptThrottleRate will be increased
stepwise to 70000 for traffic in class ""Lowest latency"".

Setting InterruptThrottleRate to 0 turns off any interrupt moderation
and may improve small packet latency, but is generally not suitable
for bulk throughput traffic.

Signed-off-by: Jesse Brandeburg <e6047e445db6578741afb14ef640164ef6b65e4f@intel.com>
Cc: Rick Jones <fa592e45dbbefecd81487d38d3b31972a5de8c36@hp.com>
Signed-off-by: Auke Kok <d323640d323a5ddb238d016fbc7c423173856f0d@intel.com>
",TRUE,,,packet performance,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
cleanflight/cleanflight,c3b490b40f0e86ca6c20b38fdbb58f54eea636da,"Optimize ledstrip DMA buffer update and bug fix (#8830)

Optimize ledstrip DMA buffer update and bug fix",TRUE,,,optimize,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
ElementsProject/elements,e5b2cd8e7564b9fc2ed4f63fe49efb0af60b4460,"Use python instead of slow shell script on verify-commits
",TRUE,,,slow,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
tprrt/linux-stable,57a2af6bbc7a4f1b145cc216c34476402836f0b8,"drm/i915: Kill intel_crtc->cursor_bo

The vma may have been rebound between the last time the cursor was
enabled and now, so skipping the cursor gtt offset deduction is not
safe unless we would also reset cursor_bo to NULL when disabling the
cursor. Just thow cursor_bo to the bin instead since it's lost all
other uses thanks to universal plane support.

Chris pointed out that cursor updates are currently too slow
via universal planes that micro optimizations like these wouldn't
even help.

v2: Add a note about futility of micro optimizations (Chris)

Cc: 2dacef862dfeb083b5f3bcc5c29009f436dd5241@lists.freedesktop.org
References: http://lists.freedesktop.org/archives/intel-gfx/2015-December/082976.html
Cc: Chris Wilson <711c73f64afdce07b7e38039a96d2224209e9a6c@chris-wilson.co.uk>
Cc: Takashi Iwai <4596b3305151c7ee743192a95d394341e3d3b644@suse.de>
Cc: Jani Nikula <ba783f3beccaedfda693f41a15407d612a629408@linux.intel.com>
Signed-off-by: Ville Syrjälä <cd6e8d405ca90be3a03d5427c5b24fbd2d68dcc4@linux.intel.com>
Link: http://patchwork.freedesktop.org/patch/msgid/1450107302-17171-1-git-send-email-cd6e8d405ca90be3a03d5427c5b24fbd2d68dcc4@linux.intel.com
Reviewed-by: Chris Wilson <711c73f64afdce07b7e38039a96d2224209e9a6c@chris-wilson.co.uk>
(cherry picked from commit 1264859d648c4bdc9f0a098efbff90cbf462a075)
Signed-off-by: Jani Nikula <ba783f3beccaedfda693f41a15407d612a629408@intel.com>
",TRUE,,,too slow,,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
PaddlePaddle/Paddle,b681537e1a873a08e1b2f5a4bb78772ee0353279,"Add multiprocess reader (#13311)

* add multiprocess_reader

* add multiprocess_reader to reader decorator

* support piped multi process reader

* revert v2 decorator

* add comment to multiprocess_reader

* optimize code

* use ujson to speed up json serialize/deserialize

* add assert to multiprocess_reader

* update comment of multiprocess_reader

* optimize ujson import, handle error case

* optimize import ujson

* remove ujson from requirements.txt

* add import sys to decorator.py
",TRUE,,,,optimize code,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
consulo/consulo,725e2b511b8fde3281c9f48ac2c7adf8c5c27d34,"IDEA-69317 Editor: Improve performance

Avoiding unnecessary duplicate 'highlight braces' activity
",TRUE,,,,improve performance,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
ShiftMediaProject/gmp,01e4f9f93652dc219609f1b578dfb9df914da3f6,"Regenerate for:
  For sparc under solaris2.[7-9], pass -fast instead of	other
  optimization options.
",TRUE,,,,"fast, optimization",,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
pywinauto/pywinauto,ab54003b2cf688bcdd3f75d770b46337a3c0b021,"menuwrapper for win32: optimize _read_item() to delay item's text extraction only when it's actually required
",TRUE,,,,optimize,,25_mar_2021_pos_52a7c8257bcf835e778750bd5c5f172a5cba281f
